企業管理コード,所在地_都道府県,従業員数,決算期年,売上高_百万円,売上高利益率
A82112559,,187,2018,291,0.0025
A82112559,,187,2019,305,0.0029
A23110220,06_山形県,0,2018,281,0.0019
A23110220,,0,2019,299,0.0024
A58136277,,0,2018,283,0.004
A58136277,,0,2019,275,0.0012
A58136450,,65,2018,281,0.0022
A58136450,,65,2019,355,0.0031
A58590593,,0,2018,264,0.0028
A58590593,,0,2019,310,0.004
A86100062,,133,2018,302,0.0026
A86100062,,133,2019,258,0.0026
A88102330,,237,2018,307,0.0034
A88102330,,237,2019,274,0.0034
A38192821,07_福島県,54,2018,369,0.0033
A38192821,,54,2019,304,0.0052
A38829551,,59,2018,360,0.0026
A38829551,,59,2019,322,0.0028
A38855530,,93,2018,352,0.0031
A38855530,,93,2019,329,0.0033
A78141213,,10,2018,316,0.0029
A78141213,,10,2019,325,0.0037
A78184754,,252,2018,252,0
A78184754,,252,2019,323,0.0033
A78505646,,79,2018,286,0.0041
A78505646,,79,2019,304,0.0024
A78547727,,217,2018,256,0.0007
A78547727,,217,2019,284,0.0033
A78593580,,219,2018,299,0.0036
A78593580,,219,2019,342,0.0034
A25126152,08_茨城県,182,2018,322,0.0045
A25126152,,182,2019,314,0.0029
A28010281,,43,2018,235,0.0039
A28010281,,43,2019,281,0.004
A28081325,,68,2018,246,0.0042
A28081325,,68,2019,342,0.0013
A28138394,,277,2018,384,0.0004
A28138394,,277,2019,269,0.0069
A28514438,,0,2018,267,0.0041
A28514438,,0,2019,325,0.0003
A28756749,,155,2018,314,0.0006
A28756749,,155,2019,315,0.0053
A28814548,,104,2018,290,0.0035
A28814548,,104,2019,262,0.0049
A38853092,,318,2018,325,0.0025
A38853092,,318,2019,336,0.005
A80118210,,234,2018,290,0.004
A80118210,,234,2019,305,0.003
A18018937,09_栃木県,148,2018,277,0.0048
A18018937,,148,2019,278,0.0033
A18087236,,50,2018,360,0.0023
A18087236,,50,2019,258,0.0037
A18644787,,51,2018,298,0.0053
A18644787,,51,2019,267,0.004
A18700517,,45,2018,268,0.0046
A18700517,,45,2019,321,0.0008
A18767656,,28,2018,281,0.0007
A18767656,,28,2019,290,0.0002
A55620839,,88,2018,307,0.0023
A55620839,,88,2019,302,0.0018
A90124756,,93,2018,261,0.0024
A90124756,,93,2019,302,0.0061
A08078487,10_群馬県,174,2018,314,0.0022
A08078487,,174,2019,312,0.0032
A08086569,,159,2018,324,0.0026
A08086569,,159,2019,293,0.0003
A08584400,,0,2018,332,0.0012
A08584400,,0,2019,302,0.0014
A08699343,,0,2018,295,0.0056
A08699343,,0,2019,305,0.0057
A25123994,,24,2018,327,0.0019
A25123994,,24,2019,298,0.0035
A36120845,,40,2018,340,0.0025
A36120845,,40,2019,286,-0.0005
A41122789,,30,2018,332,0.001
A41122789,,30,2019,287,0.0074
A43122406,,221,2018,315,0.0039
A43122406,,221,2019,287,0.0005
A85123856,,0,2018,371,0.0009
A85123856,,0,2019,325,0.0025
A11123355,11_埼玉県,254,2018,349,0.0032
A11123355,,254,2019,324,0.0063
A21121734,,0,2018,280,0.0035
A21121734,,0,2019,269,0.0009
A31107616,,165,2018,271,0.0024
A31107616,,165,2019,339,0.0026
A31141685,,55,2018,283,0.005
A31141685,,55,2019,281,0.0043
A48137321,,67,2018,332,0.0043
A48137321,,67,2019,302,0.002
A48188642,,151,2018,328,0.0029
A48188642,,151,2019,291,0.0045
A59113635,,293,2018,244,0.0015
A59113635,,293,2019,278,0.0026
A63120425,,356,2018,298,0.0029
A63120425,,356,2019,293,0.0013
A82046260,,239,2018,278,0.0032
A82046260,,239,2019,316,0.0031
A82089907,,193,2018,291,0.002
A82089907,,193,2019,325,0.0034
A82155279,,82,2018,280,0.0013
A82155279,,82,2019,253,0.0049
A82162935,,59,2018,371,0.0026
A82162935,,59,2019,307,0.002
A82567680,,168,2018,325,0.0065
A82567680,,168,2019,282,0.0072
A82588498,,69,2018,310,0.0036
A82588498,,69,2019,272,0.002
A82630324,,161,2018,308,0.0052
A82630324,,161,2019,263,0.0015
A82639387,,156,2018,297,0.0032
A82639387,,156,2019,298,0.0039
A82690563,,117,2018,291,0.0048
A82690563,,117,2019,288,0.0028
A88021931,,172,2018,362,0.0023
A88021931,,172,2019,336,0.0014
A88028359,,117,2018,324,0.0024
A88028359,,117,2019,326,0.0047
A88031992,,106,2018,310,0.0038
A88031992,,106,2019,321,0.0001
A88226959,,54,2018,321,0.0041
A88226959,,54,2019,316,0.0021
A88371714,,10,2018,303,0.0063
A88371714,,10,2019,273,0.0028
A88396010,,68,2018,309,0.0009
A88396010,,68,2019,332,0.0029
A88561184,,48,2018,341,0.0015
A88561184,,48,2019,272,0.0041
A52129373,12_千葉県,187,2018,353,0.0009
A52129373,,187,2019,341,0.0016
A53122864,,209,2018,308,0.0059
A53122864,,209,2019,269,0.0014
A58134844,,90,2018,309,0.0024
A58134844,,90,2019,290,0.0056
A58374943,,42,2018,326,0.0028
A58374943,,42,2019,323,0.003
A58437257,,0,2018,343,0.0034
A58437257,,0,2019,300,0.0036
A58801321,,0,2018,349,0.0027
A58801321,,0,2019,281,0.0034
A59117896,,86,2018,328,0.0019
A59117896,,86,2019,298,0.0043
A89122413,,182,2018,281,0.0048
A89122413,,182,2019,312,0.0016
A04122803,13_東京都,53,2018,289,0.005
A04122803,,53,2019,308,0.0025
A04122803,,53,2018,289,0.005
A04122803,,53,2019,308,0.0025
A09104114,,64,2018,289,0.0049
A09104114,,64,2019,323,0.0009
A14117268,,74,2018,322,0.0026
A14117268,,74,2019,318,0.0039
A19118690,,173,2018,270,0.0022
A19118690,,173,2019,354,0.0012
A21116941,,253,2018,378,0.0016
A21116941,,253,2019,280,0.0016
A25127230,,79,2018,324,0.0008
A25127230,,79,2019,310,0.0016
A26123264,,72,2018,326,0.004
A26123264,,72,2019,283,0.0032
A29122934,,18,2018,328,0.0038
A29122934,,18,2019,306,0.0038
A30000668,,0,2018,328,-0.0009
A30000668,,0,2019,312,0.0026
A30430255,,97,2018,305,0.0034
A30430255,,97,2019,328,0.0037
A30919976,,179,2018,348,0.0036
A30919976,,179,2019,298,0.0021
A30933509,,45,2018,262,0.0021
A30933509,,45,2019,298,0.0051
A30952976,,86,2018,309,0.0021
A30952976,,86,2019,362,0.0028
A31230789,,48,2018,306,0.0028
A31230789,,48,2019,292,0.0041
A31330467,,80,2018,323,0.0016
A31330467,,80,2019,298,0.003
A31454611,,85,2018,263,0.0055
A31454611,,85,2019,300,0.0038
A31492371,,75,2018,315,0.0052
A31492371,,75,2019,340,0.0039
A31760902,,200,2018,318,-0.0003
A31760902,,200,2019,303,0.0014
A32543083,,153,2018,282,-0.0004
A32543083,,153,2019,288,0.0077
A32640234,,73,2018,277,0.003
A32640234,,73,2019,249,0.0049
A32654740,,104,2018,259,0.0033
A32654740,,104,2019,256,0.0058
A32654740,,104,2018,259,0.0033
A32654740,,104,2019,256,0.0058
A32790644,,161,2018,325,0.0039
A32790644,,161,2019,251,0.0075
A33118867,,84,2018,287,0.0049
A33118867,,84,2019,284,0.0013
A33733648,,232,2018,291,0.0058
A33733648,,232,2019,270,0.0017
A33869006,,67,2018,312,0.0029
A33869006,,67,2019,273,0.0052
A33970740,,196,2018,305,0.006
A33970740,,196,2019,320,0.003
A34250020,,85,2018,288,0.0004
A34250020,,85,2019,298,-0.0003
A34743443,,177,2018,295,0.0045
A34743443,,177,2019,297,0.0031
A34831766,,215,2018,286,0.0067
A34831766,,215,2019,290,0.002
A35947693,,65,2018,281,0.0036
A35947693,,65,2019,295,0.0035
A35971742,,0,2018,350,0.0017
A35971742,,0,2019,329,0.0035
A36020607,,99,2018,285,0.0003
A36020607,,99,2019,275,0.0056
A36049308,,6,2018,246,0.0021
A36049308,,6,2019,295,0.0003
A36127051,,0,2018,308,0.0041
A36127051,,0,2019,291,0.0061
A36300807,,3,2018,302,0.0034
A36300807,,3,2019,253,0.0058
A36382430,,215,2018,283,0.0034
A36382430,,215,2019,323,0.0047
A36815080,,157,2018,313,0.0016
A36815080,,157,2019,291,0.0041
A37220590,,0,2018,281,0.0016
A37220590,,0,2019,315,0.0042
A37655170,,13,2018,330,0.0025
A37655170,,13,2019,287,0.0013
A38323240,,97,2018,303,0.0051
A38323240,,97,2019,280,0.0042
A38693842,,181,2018,348,0.0045
A38693842,,181,2019,285,0.0036
A38848619,,139,2018,368,0.0015
A38848619,,139,2019,310,0.0017
A38894627,,120,2018,297,0.003
A38894627,,120,2019,300,0.005
A39282126,,180,2018,275,0.004
A39282126,,180,2019,311,0.0024
A39306912,,167,2018,323,0.0023
A39306912,,167,2019,333,0.0036
A39360380,,95,2018,350,0.0049
A39360380,,95,2019,266,0.0027
A39419504,,176,2018,331,0.0032
A39419504,,176,2019,336,0.0033
A39491227,,113,2018,351,0.0012
A39491227,,113,2019,325,0.0022
A39505917,,78,2018,343,0.0021
A39505917,,78,2019,334,0.0053
A39542417,,41,2018,248,0.003
A39542417,,41,2019,319,0.0018
A39581816,,60,2018,269,0.0036
A39581816,,60,2019,301,0.0021
A39613023,,98,2018,305,0.0053
A39613023,,98,2019,305,0.0015
A39807321,,21,2018,272,0.0041
A39807321,,21,2019,264,0.0042
A39933921,,19,2018,264,0.0031
A39933921,,19,2019,264,0.0012
A39960821,,239,2018,271,0.0011
A39960821,,239,2019,284,0.0041
A43129515,,87,2018,361,0.0031
A43129515,,87,2019,320,0.0056
A57288221,,156,2018,309,0.0018
A57288221,,156,2019,368,0.0019
A57749622,,136,2018,299,0.0028
A57749622,,136,2019,257,0.0046
A58157161,,39,2018,282,0.0017
A58157161,,39,2019,271,0.0062
A58543019,,24,2018,312,0.0024
A58543019,,24,2019,312,0.0022
A58777658,,262,2018,264,0.0028
A58777658,,262,2019,296,0.0049
A58884438,,52,2018,301,0.0054
A58884438,,52,2019,262,0.0062
A62114988,,46,2018,312,0.0039
A62114988,,46,2019,271,0.0009
A66100613,,172,2018,314,0.0045
A66100613,,172,2019,274,0.0025
A66100613,,172,2018,314,0.0045
A66100613,,172,2019,274,0.0025
A70122665,,105,2018,278,0.0042
A70122665,,105,2019,313,0.0032
A70127978,,0,2018,274,0.0022
A70127978,,0,2019,278,0.0024
A88139414,,40,2018,320,0.0034
A88139414,,40,2019,325,0.004
A88508249,,191,2018,319,0.0051
A88508249,,191,2019,333,0.0038
A88686332,,0,2018,263,0.0048
A88686332,,0,2019,295,0.004
A92358930,,103,2018,288,0.0034
A92358930,,103,2019,232,0.0022
A98880720,,0,2018,259,0.0042
A98880720,,0,2019,321,0.0069
A25109297,14_神奈川県,175,2018,284,0.0036
A25109297,,175,2019,310,0.0012
A48528080,,203,2018,306,0.0041
A48528080,,203,2019,346,0.0018
A48528080,,203,2018,306,0.0041
A48528080,,203,2019,346,0.0018
A60114128,,125,2018,328,0.0049
A60114128,,125,2019,351,0.0025
A62118492,,291,2018,272,0.0031
A62118492,,291,2019,324,0.0015
A80122090,,75,2018,324,0.0037
A80122090,,75,2019,293,0.0038
A92022319,,101,2018,263,0.0077
A92022319,,101,2019,231,0.0072
A92198746,,148,2018,276,0.0013
A92198746,,148,2019,279,0.0024
A92237591,,60,2018,297,0.0023
A92237591,,60,2019,357,0.0038
A92675941,,145,2018,332,0.0049
A92675941,,145,2019,266,0.0041
A92744130,,54,2018,300,0.0002
A92744130,,54,2019,269,0.0022
A92744130,,54,2018,300,0.0002
A92744130,,54,2019,269,0.0022
A92852152,,129,2018,276,0.0045
A92852152,,129,2019,283,0.0018
A92916573,,7,2018,298,0.0019
A92916573,,7,2019,372,0.0034
A98039724,,194,2018,287,0.0022
A98039724,,194,2019,281,0
A98056340,,79,2018,334,0.0026
A98056340,,79,2019,343,0.0022
A98252893,,0,2018,296,0.0021
A98252893,,0,2019,268,0.0032
A98256801,,174,2018,275,0.0007
A98256801,,174,2019,286,0.005
A98264090,,0,2018,290,0.0035
A98264090,,0,2019,279,0.006
A98356018,,22,2018,346,0.0033
A98356018,,22,2019,287,0.0028
A98836874,,162,2018,298,0.0033
A98836874,,162,2019,323,0.0052
A98883798,,202,2018,288,0.0007
A98883798,,202,2019,280,0.0057
A98922744,,71,2018,308,0.0037
A98922744,,71,2019,281,0.0068
A98931885,,86,2018,306,0.0047
A98931885,,86,2019,278,0.005
A18062284,15_新潟県,34,2018,285,0.0027
A18062284,,34,2019,291,0.0014
A18073604,,0,2018,234,0.0021
A18073604,,0,2019,320,0.004
A18627868,,0,2018,268,0.0027
A18627868,,0,2019,277,0.0007
A18646280,,0,2018,289,0.0009
A18646280,,0,2019,271,0.0064
A18652179,,109,2018,262,0.008
A18652179,,109,2019,323,0.0044
A21127449,,115,2018,337,0.0025
A21127449,,115,2019,275,0.0046
A28525625,,79,2018,308,0.0055
A28525625,,79,2019,328,0.0022
A28568911,,194,2018,326,0.0006
A28568911,,194,2019,282,0.0027
A41121871,,50,2018,287,0.0046
A41121871,,50,2019,291,0.0026
A58134220,,142,2018,312,0.0041
A58134220,,142,2019,269,0.0058
A73104395,,187,2018,276,0.0057
A73104395,,187,2019,256,0.0078
A75110692,,133,2018,301,0.0037
A75110692,,133,2019,294,0.0056
A80124600,,93,2018,300,0.0034
A80124600,,93,2019,376,0.0022
A61109220,16_富山県,29,2018,285,0.0026
A61109220,,29,2019,295,0.0018
A88079676,,0,2018,302,0.0023
A88079676,,0,2019,272,0.0019
A88131102,,253,2018,352,0.0042
A88131102,,253,2019,308,0.0026
A12123384,17_石川県,173,2018,330,0.0037
A12123384,,173,2019,344,0.0058
A38136851,,57,2018,290,0.0027
A38136851,,57,2019,317,0.0047
A38170280,,50,2018,315,0.0027
A38170280,,50,2019,308,0.005
A38515420,,115,2018,340,0.0052
A38515420,,115,2019,256,0.0003
A38538443,,38,2018,293,0.0014
A38538443,,38,2019,289,0.0007
A38667697,,93,2018,297,0.0024
A38667697,,93,2019,302,0.0036
A55127220,,65,2018,268,0.0048
A55127220,,65,2019,305,-0.0003
A78133528,18_福井県,110,2018,308,0.0045
A78133528,,110,2019,330,0.0031
A78543609,,198,2018,345,0.004
A78543609,,198,2019,310,0.0032
A20122496,19_山梨県,123,2018,264,0.0047
A20122496,,123,2019,298,0.0034
A38009805,,136,2018,284,0.0027
A38009805,,136,2019,321,0.0033
A38058009,,111,2018,317,0.0011
A38058009,,111,2019,349,0.0014
A38153110,,72,2018,289,0.0047
A38153110,,72,2019,289,0.0057
A38172242,,219,2018,321,0.0048
A38172242,,219,2019,328,0.0029
A38634830,,39,2018,325,0.0007
A38634830,,39,2019,322,0.0009
A63112649,20_長野県,126,2018,296,0.004
A63112649,,126,2019,325,0.0027
A67122263,,15,2018,253,0.0052
A67122263,,15,2019,297,0.0036
A67122263,,15,2018,253,0.0052
A67122263,,15,2019,297,0.0036
A68009197,,246,2018,325,0.0034
A68009197,,246,2019,287,0.0031
A68009197,,246,2018,325,0.0034
A68009197,,246,2019,287,0.0031
A68152021,,36,2018,343,0.0005
A68152021,,36,2019,243,0.0074
A68180003,,265,2018,322,0.004
A68180003,,265,2019,259,0.0031
A68544934,,121,2018,299,0.005
A68544934,,121,2019,296,0.0067
A68652140,,82,2018,314,0
A68652140,,82,2019,300,0.0026
A68671505,,72,2018,306,0.0041
A68671505,,72,2019,289,-0.0003
A82121486,,239,2018,325,-0.0007
A82121486,,239,2019,243,0.0059
A89125290,,106,2018,315,0.0029
A89125290,,106,2019,272,0.0053
A98198856,,124,2018,321,0.0011
A98198856,,124,2019,387,0.0033
A98198856,,124,2018,321,0.0011
A98198856,,124,2019,387,0.0033
A98534640,,77,2018,279,0.0069
A98534640,,77,2019,307,0.0053
A98607246,,94,2018,332,0.0011
A98607246,,94,2019,324,0.004
A98607246,,94,2018,332,0.0011
A98607246,,94,2019,324,0.004
A28534951,21_岐阜県,113,2018,291,0.0027
A28534951,,113,2019,271,0.0008
A28555058,,45,2018,306,0.0055
A28555058,,45,2019,277,0.0026
A57847288,,0,2018,308,0.0044
A57847288,,0,2019,290,0.0047
A57847684,,35,2018,246,0.0026
A57847684,,35,2019,277,0.0014
A98343188,,136,2018,353,0.0031
A98343188,,136,2019,323,0.0016
A98717959,,0,2018,308,0.0043
A98717959,,0,2019,312,0.0033
A08018618,22_静岡県,4,2018,261,0.0004
A08018618,,4,2019,273,-0.0005
A08081571,,0,2018,288,0.001
A08081571,,0,2019,254,0.0041
A08184126,,24,2018,305,0.0037
A08184126,,24,2019,270,0.0038
A08570140,,143,2018,293,0.0027
A08570140,,143,2019,375,0.0045
A08570140,,143,2018,293,0.0027
A08570140,,143,2019,375,0.0045
A08629524,,0,2018,321,0.004
A08629524,,0,2019,300,0.0041
A08676453,,40,2018,318,0.0044
A08676453,,40,2019,330,0.0014
A08697754,,89,2018,278,0.0038
A08697754,,89,2019,281,0.0068
A44123037,,25,2018,305,0.0038
A44123037,,25,2019,299,0.0046
A48597673,,138,2018,368,0.0021
A48597673,,138,2019,274,0.0046
A48664791,,102,2018,297,0.0024
A48664791,,102,2019,299,0.0041
A56591244,,170,2018,255,0.0026
A56591244,,170,2019,304,0.0029
A68181934,,69,2018,249,0.0033
A68181934,,69,2019,360,0.0022
A69103360,,0,2018,330,0.0011
A69103360,,0,2019,266,0.0067
A94117283,,55,2018,233,0.008
A94117283,,55,2019,281,0.0083
A13127605,23_愛知県,230,2018,344,0.0029
A13127605,,230,2019,294,0.0012
A18130057,,121,2018,305,0.0045
A18130057,,121,2019,265,0.003
A18184643,,25,2018,347,0.0035
A18184643,,25,2019,339,0
A18546597,,60,2018,254,0.0023
A18546597,,60,2019,320,0.0039
A18555262,,108,2018,318,0.0022
A18555262,,108,2019,282,0.002
A18555555,,160,2018,342,0.0035
A18555555,,160,2019,273,0.0045
A18656866,,90,2018,326,0.0063
A18656866,,90,2019,280,0.0033
A35135647,,0,2018,346,0.0036
A35135647,,0,2019,332,0.0019
A57378860,,104,2018,299,0.0023
A57378860,,104,2019,270,0.0052
A92078899,,201,2018,329,0.0055
A92078899,,201,2019,283,0.0049
A92718494,,123,2018,324,0.0042
A92718494,,123,2019,275,0.0041
A92718494,,123,2018,324,0.0042
A92718494,,123,2019,275,0.0041
A92846615,,29,2018,321,0.003
A92846615,,29,2019,323,0.0033
A92861912,,203,2018,249,0.004
A92861912,,203,2019,298,0.0053
A92878974,,97,2018,297,0.0013
A92878974,,97,2019,358,0.0025
A96106491,,146,2018,258,0.0029
A96106491,,146,2019,312,0.0054
A98060860,,74,2018,310,0.0024
A98060860,,74,2019,276,0.0063
A98164058,,287,2018,325,0.0051
A98164058,,287,2019,313,0.008
A98165237,,219,2018,302,0.0034
A98165237,,219,2019,271,0.0046
A98192383,,25,2018,264,0.0053
A98192383,,25,2019,312,0.0045
A98197995,,167,2018,253,0.0034
A98197995,,167,2019,303,0.0034
A98197995,,167,2018,253,0.0034
A98197995,,167,2019,303,0.0034
A98300800,,13,2018,355,0.0018
A98300800,,13,2019,229,0.0022
A98373936,,113,2018,310,0.0066
A98373936,,113,2019,303,0.0047
A98382022,,125,2018,295,0.0034
A98382022,,125,2019,313,-0.0005
A05122064,24_三重県,130,2018,258,0.0027
A05122064,,130,2019,325,0.0018
A20109970,,67,2018,356,0.0022
A20109970,,67,2019,304,0.0038
A53103370,,104,2018,316,0.002
A53103370,,104,2019,319,0.0044
A54122080,,192,2018,278,0.0009
A54122080,,192,2019,313,0.0057
A55156340,,35,2018,320,0.0026
A55156340,,35,2019,246,0.0068
A58117625,,53,2018,286,0.0033
A58117625,,53,2019,367,0.003
A58167484,,20,2018,300,0.0034
A58167484,,20,2019,296,0.0039
A58179594,,81,2018,249,0.0059
A58179594,,81,2019,268,0.0034
A58185125,,59,2018,276,0.0056
A58185125,,59,2019,300,0.0025
A58520773,,131,2018,285,0.0029
A58520773,,131,2019,328,0.0069
A58540027,,173,2018,283,0.0027
A58540027,,173,2019,253,0.0014
A58552917,,159,2018,243,0.0029
A58552917,,159,2019,273,0.0067
A58583023,,187,2018,255,0.0068
A58583023,,187,2019,264,0.0066
A88537932,,52,2018,292,0.0016
A88537932,,52,2019,263,0.0037
A88549109,,0,2018,247,0.0037
A88549109,,0,2019,240,0.0061
A14125210,25_滋賀県,160,2018,285,0.0034
A14125210,,160,2019,257,0.0045
A28199497,,218,2018,348,0.0033
A28199497,,218,2019,304,0.0009
A28513182,,124,2018,304,0.0058
A28513182,,124,2019,291,0.005
A28554581,,0,2018,280,0.0041
A28554581,,0,2019,301,0.0048
A80115699,,43,2018,333,0.0022
A80115699,,43,2019,303,0.0052
A48014641,26_京都府,123,2018,289,0.0014
A48014641,,123,2019,267,0.0054
A58113018,,110,2018,220,0.0089
A58113018,,110,2019,304,0.0067
A98002025,,131,2018,324,0.004
A98002025,,131,2019,281,0.0059
A98130851,,6,2018,288,0.0034
A98130851,,6,2019,269,0.0017
A98196095,,85,2018,304,0.0023
A98196095,,85,2019,292,0.0068
A98196095,,85,2018,304,0.0023
A98196095,,85,2019,292,0.0068
A98545550,,0,2018,269,0.005
A98545550,,0,2019,297,0.0027
A98574906,,85,2018,315,0.0012
A98574906,,85,2019,280,0.0051
A98662626,,112,2018,292,0.0041
A98662626,,112,2019,319,0.0018
A98669565,,0,2018,359,0.0031
A98669565,,0,2019,248,0.0051
A98696566,,159,2018,287,0.005
A98696566,,159,2019,333,0.0036
A98760542,,95,2018,310,0.0029
A98760542,,95,2019,319,0.0045
A98793237,,79,2018,303,0.0031
A98793237,,79,2019,326,0.002
A98866311,,106,2018,257,0.0045
A98866311,,106,2019,341,0.0039
A04122570,27_大阪府,103,2018,263,0.0053
A04122570,,103,2019,397,0.0033
A11104657,,111,2018,304,0.0009
A11104657,,111,2019,294,0.0059
A20129595,,23,2018,327,0.0044
A20129595,,23,2019,307,0.0024
A32345490,,241,2018,267,0.0042
A32345490,,241,2019,299,0.002
A32396210,,71,2018,326,0.0008
A32396210,,71,2019,281,0.0069
A32733649,,277,2018,306,0.0017
A32733649,,277,2019,257,0.0026
A32733649,,277,2018,306,0.0017
A32733649,,277,2019,257,0.0026
A32786613,,22,2018,324,0.0021
A32786613,,22,2019,317,0.0019
A32786613,,22,2018,324,0.0021
A32786613,,22,2019,317,0.0019
A32812756,,0,2018,289,0.0041
A32812756,,0,2019,282,0.0061
A32838409,,180,2018,269,0.005
A32838409,,180,2019,318,0.0014
A35679948,,64,2018,323,0.0032
A35679948,,64,2019,313,0.0038
A38064100,,26,2018,363,0.0026
A38064100,,26,2019,317,0.0051
A38175201,,48,2018,267,0.0054
A38175201,,48,2019,258,0.0052
A38189273,,183,2018,325,0.0007
A38189273,,183,2019,312,0.003
A38600515,,126,2018,280,0.0063
A38600515,,126,2019,378,0.0013
A38679504,,46,2018,303,0.0061
A38679504,,46,2019,334,0.0004
A38897709,,95,2018,272,0.0046
A38897709,,95,2019,268,0.0058
A38952945,,54,2018,315,0.0023
A38952945,,54,2019,304,0.005
A39146224,,75,2018,266,0.0043
A39146224,,75,2019,325,0.0039
A39421458,,43,2018,281,-0.0001
A39421458,,43,2019,276,0.0053
A39485355,,0,2018,298,0.0036
A39485355,,0,2019,266,0.004
A39831527,,168,2018,308,0.0039
A39831527,,168,2019,241,0.0024
A39931029,,112,2018,324,0.0016
A39931029,,112,2019,284,0.001
A39985792,,136,2018,304,0.0015
A39985792,,136,2019,283,0.0053
A57835941,,224,2018,261,0.0018
A57835941,,224,2019,312,0.0024
A65104478,,164,2018,318,0.0007
A65104478,,164,2019,277,0.0009
A65117352,,66,2018,295,0.0063
A65117352,,66,2019,313,0.0022
A81128840,,118,2018,316,0.0026
A81128840,,118,2019,320,0.0074
A88064301,,260,2018,294,0.0037
A88064301,,260,2019,315,0.0061
A88518261,,170,2018,315,0.0023
A88518261,,170,2019,310,0.0037
A11122447,28_兵庫県,225,2018,310,0.0034
A11122447,,225,2019,338,0.0034
A11129037,,114,2018,270,0.0053
A11129037,,114,2019,306,0.0037
A14122475,,122,2018,313,0.0035
A14122475,,122,2019,279,0.0062
A18144978,,94,2018,295,0.0034
A18144978,,94,2019,315,0.002
A18597957,,93,2018,265,0.0076
A18597957,,93,2019,296,0.002
A18671793,,166,2018,322,0.0055
A18671793,,166,2019,282,0.003
A23115073,,192,2018,300,0.0013
A23115073,,192,2019,273,0.0028
