"企業管理コード","決算期年","売上高_百万円","利益_千円"
A18656866,2019,280,919
A18767656,2018,281,199
A18767656,2019,290,66
A20112794,2018,289,1159
A20112794,2019,266,-106
A20129595,2018,327,1452
A20129595,2019,307,733
A21121734,2018,280,968
A21121734,2019,269,243
A21124124,2018,332,1239
A21124124,2019,302,968
A21127449,2018,337,829
A21127449,2019,275,1258
A21129507,2018,236,678
A21129507,2019,322,1605
A23115073,2018,300,393
A23115073,2019,273,761
A25109297,2018,284,1022
A25109297,2019,310,367
A25123994,2018,327,619
A25123994,2019,298,1044
A25127230,2018,324,250
A25127230,2019,310,509
A26127777,2018,231,1401
A26127777,2019,293,56
A28004912,2018,273,285
A28004912,2019,253,970
A28044164,2018,290,551
A28044164,2019,272,458
A28081325,2018,246,1025
A28081325,2019,342,441
A28138394,2018,384,153
A28138394,2019,269,1865
A28144276,2018,329,751
A28144276,2019,311,-292
A28177569,2018,327,936
A28177569,2019,345,1220
A28199497,2018,348,1138
A28199497,2019,304,283
A28501659,2018,329,211
A28501659,2019,301,1647
A28513182,2018,304,1749
A28513182,2019,291,1461
A28514438,2018,267,1106
A28514438,2019,325,95
A28531600,2018,315,1390
A28531600,2019,299,1621
A28534951,2018,291,779
A28534951,2019,271,216
A28538361,2018,319,1153
A28538361,2019,278,529
A28554581,2018,280,1155
A28554581,2019,301,1446
A28555058,2018,306,1670
A28555058,2019,277,726
A28568911,2018,326,198
A28568911,2019,282,764
A28650558,2018,277,629
A28650558,2019,374,857
A28814548,2018,290,1006
A28814548,2019,262,1271
A29120480,2018,334,1277
A29120480,2019,256,981
A30430255,2018,305,1040
A30430255,2019,328,1225
A30919976,2018,348,1249
A30919976,2019,298,626
A30952976,2018,309,642
A30952976,2019,362,1004
A31454611,2018,263,1441
A31454611,2019,300,1127
A31492371,2018,315,1653
A31492371,2019,340,1323
A32252683,2018,237,1670
A32252683,2019,236,157
A32345490,2018,267,1126
A32345490,2019,299,597
A32396210,2018,326,258
A32396210,2019,281,1933
A32640234,2018,277,828
A32640234,2019,249,1213
A32654740,2018,259,867
A32654740,2019,256,1496
A32812756,2018,289,1183
A32812756,2019,282,1733
A32838409,2018,269,1335
A32838409,2019,318,438
A33154959,2018,349,998
A33154959,2019,297,605
A33733648,2018,291,1685
A33733648,2019,270,467
A34250020,2018,288,113
A34250020,2019,298,-103
A34743443,2018,295,1332
A34743443,2019,297,926
A35135647,2018,346,1242
A35135647,2019,332,631
A35679948,2018,323,1026
A35679948,2019,313,1199
A35947693,2018,281,1004
A35947693,2019,295,1018
A36120845,2018,340,841
A36120845,2019,286,-153
A36300807,2018,302,1037
A36300807,2019,253,1458
A36382430,2018,283,965
A36382430,2019,323,1509
A36815080,2018,313,490
A36815080,2019,291,1183
A37220590,2018,281,445
A37220590,2019,315,1310
A37655170,2018,330,815
A37655170,2019,287,359
A38009805,2018,284,777
A38009805,2019,321,1052
A38127641,2018,280,605
A38127641,2019,342,1253
A38130344,2018,383,1826
A38130344,2019,304,1167
A38147844,2018,278,1346
A38147844,2019,264,1351
A38170280,2018,315,835
A38170280,2019,308,1553
A38189273,2018,325,232
A38189273,2019,312,948
A38192821,2018,369,1217
A38192821,2019,304,1589
A38323240,2018,303,1531
A38323240,2019,280,1166
A38515420,2018,340,1777
A38515420,2019,256,85
A38538443,2018,293,412
A38538443,2019,289,196
A38572943,2018,285,629
A38572943,2019,291,1682
A38576189,2018,245,1633
A38576189,2019,319,782
A38600515,2018,280,1755
A38600515,2019,378,506
A38633642,2018,292,1218
A38633642,2019,294,671
A38634830,2018,325,220
A38634830,2019,322,278
A38667697,2018,297,712
A38667697,2019,302,1099
A38679504,2018,303,1847
A38679504,2019,334,128
A38693842,2018,348,1571
A38693842,2019,285,1019
A38725549,2018,291,163
A38725549,2019,260,1175
A38848619,2018,368,541
A38848619,2019,310,539
A38855530,2018,352,1104
A38855530,2019,329,1078
A38894627,2018,297,885
A38894627,2019,300,1510
A38897709,2018,272,1251
A38897709,2019,268,1567
A38952945,2018,315,725
A38952945,2019,304,1507
A39021195,2018,267,132
A39021195,2019,273,937
A39153469,2018,252,1584
A39153469,2019,276,274
A39282126,2018,275,1111
A39282126,2019,311,738
A39306912,2018,323,728
A39306912,2019,333,1183
A39360380,2018,350,1726
A39360380,2019,266,712
A39419504,2018,331,1048
A39419504,2019,336,1120
A39485355,2018,298,1072
A39485355,2019,266,1068
A39505917,2018,343,729
A39505917,2019,334,1755
A39542417,2018,248,738
A39542417,2019,319,570
A39724470,2018,313,831
A39724470,2019,293,493
A39931029,2018,324,518
A39931029,2019,284,285
A39933921,2018,264,816
A39933921,2019,264,320
A41110590,2018,344,1072
A41110590,2019,331,476
A41122789,2018,332,348
A41122789,2019,287,2132
A42104021,2018,377,1452
A42104021,2019,308,521
A43122406,2018,315,1242
A43122406,2019,287,145
A43129515,2018,361,1116
A43129515,2019,320,1779
A44109603,2018,297,1769
A44109603,2019,280,1763
A44123037,2018,305,1151
A44123037,2019,299,1388
A46125532,2018,287,811
A46125532,2019,253,297
A48014641,2018,289,409
A48014641,2019,267,1440
A48039778,2018,284,893
A48039778,2019,265,-62
A48078731,2018,349,1175
A48078731,2019,302,1158
A48089627,2018,312,1001
A48089627,2019,355,1003
A48137321,2018,332,1414
A48137321,2019,302,590
A48167709,2018,277,1020
A48167709,2019,284,1248
A48552108,2018,299,754
A48552108,2019,288,1800
A48563905,2018,284,689
A48563905,2019,250,5
A48593318,2018,286,581
A48593318,2019,276,1206
A48597673,2018,368,764
A48597673,2019,274,1262
A48628697,2018,325,-29
A48628697,2019,336,819
A48644149,2018,269,1184
A48644149,2019,325,833
A48650863,2018,242,1277
A48650863,2019,275,2592
A48664791,2018,297,727
A48664791,2019,299,1211
A48729661,2018,335,914
A48729661,2019,332,876
A48768597,2018,347,2124
A48768597,2019,274,1360
A48982614,2018,323,387
A48982614,2019,253,816
A50116279,2018,296,1615
A50116279,2019,297,1361
A50144057,2018,340,225
A50144057,2019,273,696
A52129373,2018,353,334
A52129373,2019,341,545
A53103370,2018,316,621
A53103370,2019,319,1393
A53122864,2018,308,1803
A53122864,2019,269,370
A54122080,2018,278,249
A54122080,2019,313,1799
A55102643,2018,318,788
A55102643,2019,300,1790
A55127220,2018,268,1285
A55127220,2019,305,-78
A55491072,2018,332,838
A55491072,2019,239,1071
A55620839,2018,307,703
A55620839,2019,302,538
A56115782,2018,311,1058
A56115782,2019,318,619
A56126972,2018,250,84
A56126972,2019,280,663
A56129168,2018,224,200
A56129168,2019,263,171
A56231550,2018,327,123
A56231550,2019,287,1432
A56709860,2018,282,1329
A56709860,2019,332,461
A57342163,2018,284,1339
A57342163,2019,295,851
A57835941,2018,261,461
A57835941,2019,312,757
A57847288,2018,308,1343
A57847288,2019,290,1351
A58113018,2018,220,1951
A58113018,2019,304,2050
A58117625,2018,286,935
A58117625,2019,367,1096
A58132939,2018,296,1782
A58132939,2019,305,1856
A58134220,2018,312,1281
A58134220,2019,269,1569
A58134844,2018,309,734
A58134844,2019,290,1632
A58136450,2018,281,609
A58136450,2019,355,1087
A58157161,2018,282,477
A58157161,2019,271,1693
A58179594,2018,249,1463
A58179594,2019,268,911
A58374943,2018,326,911
A58374943,2019,323,979
A58437257,2018,343,1166
A58437257,2019,300,1073
A58520773,2018,285,840
A58520773,2019,328,2258
A58543019,2018,312,762
A58543019,2019,312,686
A58552917,2018,243,701
A58552917,2019,273,1830
A58777658,2018,264,747
A58777658,2019,296,1459
A58801321,2018,349,929
A58801321,2019,281,947
A59117896,2018,328,634
A59117896,2019,298,1282
A60114128,2018,328,1595
A60114128,2019,351,873
A61109220,2018,285,731
A61109220,2019,295,539
A64125215,2018,325,750
A64125215,2019,295,279
A65104478,2018,318,237
A65104478,2019,277,249
A65117352,2018,295,1858
A65117352,2019,313,699
A68009197,2018,325,1100
A68009197,2019,287,886
A68045054,2018,290,346
A68045054,2019,321,599
A68089193,2018,312,1149
A68089193,2019,357,1183
A68111149,2018,321,1640
A68111149,2019,293,1670
A68144869,2018,228,935
A68144869,2019,332,1651
A68152021,2018,343,171
A68152021,2019,243,1805
A68544934,2018,299,1500
A68544934,2019,296,1983
A68579199,2018,311,1844
A68579199,2019,288,439
A68582247,2018,329,941
A68582247,2019,297,1180
A68587152,2018,345,583
A68587152,2019,305,1164
A68605083,2018,230,928
A68605083,2019,247,1087
A68655834,2018,251,763
A68655834,2019,296,1584
A68769394,2018,314,1213
A68769394,2019,289,1068
A68842144,2018,271,1388
A68842144,2019,340,1440
A69103360,2018,330,354
A69103360,2019,266,1780
A70122665,2018,278,1162
A70122665,2019,313,999
A70127978,2018,274,599
A70127978,2019,278,678
A71119202,2018,289,1155
A71119202,2019,281,839
A73115521,2018,274,760
A73115521,2019,323,455
A74128147,2018,309,1068
A74128147,2019,308,961
A75110692,2018,301,1099
A75110692,2019,294,1649
A75117874,2018,326,1138
A75117874,2019,317,898
A78133528,2018,308,1375
A78133528,2019,330,1014
A78141213,2018,316,927
A78141213,2019,325,1216
A78516333,2018,308,254
A78516333,2019,274,2473
A78547727,2018,256,184
A78547727,2019,284,931
A78586800,2018,287,922
A78586800,2019,334,566
A78593580,2018,299,1066
A78593580,2019,342,1147
A78594964,2018,254,1191
A78594964,2019,279,221
A78656869,2018,311,1163
A78656869,2019,284,1056
A80115699,2018,333,740
A80115699,2019,303,1572
A80122090,2018,324,1190
A80122090,2019,293,1109
A81128840,2018,316,810
A81128840,2019,320,2359
A82046260,2018,278,890
A82046260,2019,316,989
A82112559,2018,291,740
A82112559,2019,305,895
A82155279,2018,280,375
A82155279,2019,253,1235
A82162935,2018,371,970
A82162935,2019,307,629
A82588498,2018,310,1125
A82588498,2019,272,553
A82639387,2018,297,951
A82639387,2019,298,1149
A82690563,2018,291,1384
A82690563,2019,288,809
A85123856,2018,371,347
A85123856,2019,325,821
A86100062,2018,302,771
A86100062,2019,258,678
A86122878,2018,234,640
A86122878,2019,327,442
A88021931,2018,362,820
A88021931,2019,336,456
A88028359,2018,324,772
A88028359,2019,326,1541
A88031992,2018,310,1176
A88031992,2019,321,40
A88039708,2018,277,1498
A88039708,2019,306,1885
A88052910,2018,251,338
A88052910,2019,292,180
A88102330,2018,307,1052
A88102330,2019,274,928
A88110491,2018,303,207
A88110491,2019,267,871
A88118168,2018,328,1511
A88118168,2019,262,830
A88131102,2018,352,1477
A88131102,2019,308,789
A88133609,2018,335,483
A88133609,2019,286,482
A88139414,2018,320,1094
A88139414,2019,325,1298
A88371714,2018,303,1905
A88371714,2019,273,768
A88396010,2018,309,275
A88396010,2019,332,954
A88508249,2018,319,1631
A88508249,2019,333,1258
A88508741,2018,307,774
A88508741,2019,290,2380
A88516006,2018,332,1521
A88516006,2019,293,1120
A88520074,2018,372,217
A88520074,2019,224,1662
A88525376,2018,290,723
A88525376,2019,245,221
A88537932,2018,292,470
A88537932,2019,263,963
A88546464,2018,272,1004
A88546464,2019,293,1358
A88632560,2018,299,1161
A88632560,2019,293,1245
A88686332,2018,263,1254
A88686332,2019,295,1176
A89122413,2018,281,1345
A89122413,2019,312,486
A89125290,2018,315,907
A89125290,2019,272,1455
A90103800,2018,309,1003
A90103800,2019,290,1823
A90114236,2018,250,2087
A90114236,2019,324,668
A90124756,2018,261,629
A90124756,2019,302,1834
A92022319,2018,263,2033
A92022319,2019,231,1665
A92198746,2018,276,356
A92198746,2019,279,668
A92237591,2018,297,677
A92237591,2019,357,1360
A92718494,2018,324,1376
A92718494,2019,275,1126
A92861912,2018,249,997
A92861912,2019,298,1577
A92916573,2018,298,579
A92916573,2019,372,1278
A94117283,2018,233,1855
A94117283,2019,281,2333
A96106491,2018,258,738
A96106491,2019,312,1692
A98002025,2018,324,1304
A98002025,2019,281,1654
A98130851,2018,288,993
A98130851,2019,269,470
A98196095,2018,304,708
A98196095,2019,292,1979
A98198856,2018,321,363
A98198856,2019,387,1280
A98205461,2018,316,1801
A98205461,2019,274,325
A98343188,2018,353,1110
A98343188,2019,323,513
A98356018,2018,346,1128
A98356018,2019,287,797
A98418901,2018,361,1121
A98418901,2019,316,628
A98484327,2018,300,949
A98484327,2019,272,930
A98545550,2018,269,1348
A98545550,2019,297,790
A98585157,2018,346,1265
A98585157,2019,280,944
A98601844,2018,268,1310
A98601844,2019,325,1509
A98644635,2018,357,991
A98644635,2019,350,796
A98662626,2018,292,1190
A98662626,2019,319,573
A98682086,2018,285,1317
A98682086,2019,302,1224
A98823023,2018,274,1829
A98823023,2019,313,2038
A98841380,2018,248,739
A98841380,2019,292,642
A98851451,2018,273,732
A98851451,2019,274,-215
A98857425,2018,260,1374
A98857425,2019,304,1246
A98866311,2018,257,1146
A98866311,2019,341,1329
A98880720,2018,259,1093
A98880720,2019,321,2226
A98883798,2018,288,197
A98883798,2019,280,1602
A98922744,2018,308,1134
A98922744,2019,281,1898
A98931885,2018,306,1428
A98931885,2019,278,1377
A98950114,2018,324,1520
A98950114,2019,312,1175
A98996279,2018,295,1273
A98996279,2019,301,1272
A99123699,2018,263,634
A99123699,2019,325,200
