企業管理コード,従業員数,所在地_市区郡コード,所在地_都道府県名,決算期年,売上高_百万円
A08585826,100,01206,北海道,2018,299
A08585826,100,01206,北海道,2019,267
A08590737,177,36201,徳島県,2018,273
A08590737,177,36201,徳島県,2019,328
A08620455,-,02201,青森県,2018,279
A08620455,-,02201,青森県,2019,304
A08629524,-,22102,静岡県,2018,321
A08629524,-,22102,静岡県,2019,300
A08676453,40,22102,静岡県,2018,318
A08676453,40,22102,静岡県,2019,330
A08680065,-,30201,和歌山県,2018,366
A08680065,-,30201,和歌山県,2019,292
A08692509,161,30206,和歌山県,2018,280
A08692509,161,30206,和歌山県,2019,269
A08697754,89,22226,静岡県,2018,278
A08697754,89,22226,静岡県,2019,281
A08699343,-,10201,群馬県,2018,295
A08699343,-,10201,群馬県,2019,305
A09104114,64,13102,東京都,2018,289
A09104114,64,13102,東京都,2019,323
A09114020,82,04209,宮城県,2018,279
A09114020,82,04209,宮城県,2019,270
A10129780,50,40137,福岡県,2018,308
A10129780,50,40137,福岡県,2019,297
A11104657,111,27227,大阪府,2018,304
A11104657,111,27227,大阪府,2019,294
A11122447,225,28207,兵庫県,2018,310
A11122447,225,28207,兵庫県,2019,338
A11123355,254,11222,埼玉県,2018,349
A11123355,254,11222,埼玉県,2019,324
A11129037,114,28201,兵庫県,2018,270
A11129037,114,28201,兵庫県,2019,306
A12123384,173,17203,石川県,2018,330
A12123384,173,17203,石川県,2019,344
A13127605,230,23106,愛知県,2018,344
A13127605,230,23106,愛知県,2019,294
A14111030,126,29204,奈良県,2018,311
A14111030,126,29204,奈良県,2019,300
A14117268,74,13102,東京都,2018,322
A14117268,74,13102,東京都,2019,318
A14122475,122,28202,兵庫県,2018,313
A14122475,122,28202,兵庫県,2019,279
A14125210,160,25204,滋賀県,2018,285
A14125210,160,25204,滋賀県,2019,257
A15103127,23,41201,佐賀県,2018,337
A15103127,23,41201,佐賀県,2019,293
A15117793,69,01101,北海道,2018,281
A15117793,69,01101,北海道,2019,300
A18018937,148,09201,栃木県,2018,277
A18018937,148,09201,栃木県,2019,278
A18037561,60,38201,愛媛県,2018,311
A18037561,60,38201,愛媛県,2019,282
A18055076,172,38202,愛媛県,2018,296
A18055076,172,38202,愛媛県,2019,322
A18062284,34,15104,新潟県,2018,285
A18062284,34,15104,新潟県,2019,291
A18073604,-,15223,新潟県,2018,234
A18073604,-,15223,新潟県,2019,320
A18084004,149,35215,山口県,2018,263
A18084004,149,35215,山口県,2019,309
A18087236,50,09208,栃木県,2018,360
A18087236,50,09208,栃木県,2019,258
A18123020,64,35215,山口県,2018,309
A18123020,64,35215,山口県,2019,304
A18130057,121,23214,愛知県,2018,305
A18130057,121,23214,愛知県,2019,265
A18144978,94,28201,兵庫県,2018,295
A18144978,94,28201,兵庫県,2019,315
A18159566,65,38214,愛媛県,2018,304
A18159566,65,38214,愛媛県,2019,293
A18184643,25,23211,愛知県,2018,347
A18184643,25,23211,愛知県,2019,339
A18546597,60,23201,愛知県,2018,254
A18546597,60,23201,愛知県,2019,320
A18552320,-,41201,佐賀県,2018,269
A18552320,-,41201,佐賀県,2019,333
A18555262,108,23201,愛知県,2018,318
A18555262,108,23201,愛知県,2019,282
A18555555,160,23201,愛知県,2018,342
A18555555,160,23201,愛知県,2019,273
A18574021,205,41206,佐賀県,2018,282
A18574021,205,41206,佐賀県,2019,292
A18597957,93,28229,兵庫県,2018,265
A18597957,93,28229,兵庫県,2019,296
A18600201,136,41420,佐賀県,2018,318
A18600201,136,41420,佐賀県,2019,291
A18627868,-,15101,新潟県,2018,268
A18627868,-,15101,新潟県,2019,277
A18644787,51,09213,栃木県,2018,298
A18644787,51,09213,栃木県,2019,267
A18646280,-,15223,新潟県,2018,289
A18646280,-,15223,新潟県,2019,271
A18652179,109,15107,新潟県,2018,262
A18652179,109,15107,新潟県,2019,323
A18656866,90,23202,愛知県,2018,326
A18656866,90,23202,愛知県,2019,280
A18671793,166,28201,兵庫県,2018,322
A18671793,166,28201,兵庫県,2019,282
A18700517,45,09201,栃木県,2018,268
A18700517,45,09201,栃木県,2019,321
A18767656,28,09201,栃木県,2018,281
A18767656,28,09201,栃木県,2019,290
A19118690,173,13103,東京都,2018,270
A19118690,173,13103,東京都,2019,354
A20109970,67,24340,三重県,2018,356
A20109970,67,24340,三重県,2019,304
A20112794,111,02400,青森県,2018,289
A20112794,111,02400,青森県,2019,266
A20122496,123,19209,山梨県,2018,264
A20122496,123,19209,山梨県,2019,298
A20129595,23,27210,大阪府,2018,327
A20129595,23,27210,大阪府,2019,307
A21116941,253,13109,東京都,2018,378
A21116941,253,13109,東京都,2019,280
A21121734,-,11208,埼玉県,2018,280
A21121734,-,11208,埼玉県,2019,269
A21124124,-,41208,佐賀県,2018,332
A21124124,-,41208,佐賀県,2019,302
A21127449,115,15222,新潟県,2018,337
A21127449,115,15222,新潟県,2019,275
A21129507,4,46219,鹿児島県,2018,236
A21129507,4,46219,鹿児島県,2019,322
A22103080,-,37201,香川県,2018,339
A22103080,-,37201,香川県,2019,289
A23110220,-,06207,山形県,2018,281
A23110220,-,06207,山形県,2019,299
A23115073,192,28212,兵庫県,2018,300
A23115073,192,28212,兵庫県,2019,273
A25109297,175,14211,神奈川県,2018,284
A25109297,175,14211,神奈川県,2019,310
A25123994,24,10201,群馬県,2018,327
A25123994,24,10201,群馬県,2019,298
A25126152,182,08216,茨城県,2018,322
A25126152,182,08216,茨城県,2019,314
A25127230,79,13209,東京都,2018,324
A25127230,79,13209,東京都,2019,310
A26123264,72,13103,東京都,2018,326
A26123264,72,13103,東京都,2019,283
A26127777,111,34101,広島県,2018,231
A26127777,111,34101,広島県,2019,293
A28004912,79,05212,秋田県,2018,273
A28004912,79,05212,秋田県,2019,253
A28010281,43,08300,茨城県,2018,235
A28010281,43,08300,茨城県,2019,281
A28044164,88,05203,秋田県,2018,290
A28044164,88,05203,秋田県,2019,272
A28081325,68,08233,茨城県,2018,246
A28081325,68,08233,茨城県,2019,342
A28138394,277,08204,茨城県,2018,384
A28138394,277,08204,茨城県,2019,269
A28144276,-,01570,北海道,2018,329
A28144276,-,01570,北海道,2019,311
A28177569,137,33203,岡山県,2018,327
A28177569,137,33203,岡山県,2019,345
A28199497,218,25204,滋賀県,2018,348
A28199497,218,25204,滋賀県,2019,304
A28501659,134,01204,北海道,2018,329
A28501659,134,01204,北海道,2019,301
A28513182,124,25213,滋賀県,2018,304
A28513182,124,25213,滋賀県,2019,291
A28514438,-,08205,茨城県,2018,267
A28514438,-,08205,茨城県,2019,325
A28525625,79,15202,新潟県,2018,308
A28525625,79,15202,新潟県,2019,328
A28531600,84,42201,長崎県,2018,315
A28531600,84,42201,長崎県,2019,299
A28534951,113,21213,岐阜県,2018,291
A28534951,113,21213,岐阜県,2019,271
A28538361,144,01204,北海道,2018,319
A28538361,144,01204,北海道,2019,278
A28554581,-,25203,滋賀県,2018,280
A28554581,-,25203,滋賀県,2019,301
A28555058,45,21201,岐阜県,2018,306
A28555058,45,21201,岐阜県,2019,277
A28568911,194,15216,新潟県,2018,326
A28568911,194,15216,新潟県,2019,282
A28650558,158,42202,長崎県,2018,277
A28650558,158,42202,長崎県,2019,374
A28756749,155,08221,茨城県,2018,314
A28756749,155,08221,茨城県,2019,315
A28814548,104,08202,茨城県,2018,290
A28814548,104,08202,茨城県,2019,262
A29120480,60,02202,青森県,2018,334
A29120480,60,02202,青森県,2019,256
A29122934,18,13103,東京都,2018,328
A29122934,18,13103,東京都,2019,306
A30000668,-,13101,東京都,2018,328
A30000668,-,13101,東京都,2019,312
A30430255,97,13101,東京都,2018,305
A30430255,97,13101,東京都,2019,328
A30919976,179,13120,東京都,2018,348
A30919976,179,13120,東京都,2019,298
A30933509,45,13112,東京都,2018,262
A30933509,45,13112,東京都,2019,298
A30952976,86,13112,東京都,2018,309
A30952976,86,13112,東京都,2019,362
A31107616,165,11203,埼玉県,2018,271
A31107616,165,11203,埼玉県,2019,339
A31141685,55,11222,埼玉県,2018,283
A31141685,55,11222,埼玉県,2019,281
A31230789,48,13300,東京都,2018,306
A31230789,48,13300,東京都,2019,292
A31330467,80,13110,東京都,2018,323
A31330467,80,13110,東京都,2019,298
A31454611,85,13229,東京都,2018,263
A31454611,85,13229,東京都,2019,300
A31492371,75,13106,東京都,2018,315
A31492371,75,13106,東京都,2019,340
A31760902,200,13105,東京都,2018,318
A31760902,200,13105,東京都,2019,303
A32252683,119,28202,兵庫県,2018,237
A32252683,119,28202,兵庫県,2019,236
A32345490,241,27227,大阪府,2018,267
A32345490,241,27227,大阪府,2019,299
A32396210,71,27127,大阪府,2018,326
A32396210,71,27127,大阪府,2019,281
A32543083,153,13101,東京都,2018,282
A32543083,153,13101,東京都,2019,288
A32640234,73,13104,東京都,2018,277
A32640234,73,13104,東京都,2019,249
A32654740,104,13108,東京都,2018,259
A32654740,104,13108,東京都,2019,256
A32733649,277,27122,大阪府,2018,306
A32733649,277,27122,大阪府,2019,257
A32786613,22,27211,大阪府,2018,324
A32786613,22,27211,大阪府,2019,317
A32790644,161,13108,東京都,2018,325
A32790644,161,13108,東京都,2019,251
A32812756,-,27103,大阪府,2018,289
A32812756,-,27103,大阪府,2019,282
A32838409,180,27120,大阪府,2018,269
A32838409,180,27120,大阪府,2019,318
A33118867,84,13101,東京都,2018,287
A33118867,84,13101,東京都,2019,284
A33154959,11,28204,兵庫県,2018,349
A33154959,11,28204,兵庫県,2019,297
A33733648,232,13104,東京都,2018,291
A33733648,232,13104,東京都,2019,270
A33869006,67,13101,東京都,2018,312
A33869006,67,13101,東京都,2019,273
A33970740,196,13103,東京都,2018,305
A33970740,196,13103,東京都,2019,320
A34129513,30,40136,福岡県,2018,315
A34129513,30,40136,福岡県,2019,314
A34250020,85,13109,東京都,2018,288
A34250020,85,13109,東京都,2019,298
A34743443,177,13120,東京都,2018,295
A34743443,177,13120,東京都,2019,297
A34831766,215,13116,東京都,2018,286
A34831766,215,13116,東京都,2019,290
A35135647,-,23201,愛知県,2018,346
A35135647,-,23201,愛知県,2019,332
A35679948,64,27120,大阪府,2018,323
A35679948,64,27120,大阪府,2019,313
A35947693,65,13102,東京都,2018,281
A35947693,65,13102,東京都,2019,295
A35971742,-,13118,東京都,2018,350
A35971742,-,13118,東京都,2019,329
A36020607,99,13104,東京都,2018,285
A36020607,99,13104,東京都,2019,275
A36049308,6,13104,東京都,2018,246
A36049308,6,13104,東京都,2019,295
A36120845,40,10201,群馬県,2018,340
A36120845,40,10201,群馬県,2019,286
A36127051,-,13101,東京都,2018,308
A36127051,-,13101,東京都,2019,291
A36300807,3,13106,東京都,2018,302
A36300807,3,13106,東京都,2019,253
A36382430,215,13101,東京都,2018,283
A36382430,215,13101,東京都,2019,323
A36815080,157,13102,東京都,2018,313
A36815080,157,13102,東京都,2019,291
A37220590,-,13101,東京都,2018,281
A37220590,-,13101,東京都,2019,315
A37655170,13,13112,東京都,2018,330
A37655170,13,13112,東京都,2019,287
A38009805,136,19201,山梨県,2018,284
A38009805,136,19201,山梨県,2019,321
A38058009,111,19210,山梨県,2018,317
A38058009,111,19210,山梨県,2019,349
A38064100,26,27121,大阪府,2018,363
A38064100,26,27121,大阪府,2019,317
A38127641,122,01202,北海道,2018,280
A38127641,122,01202,北海道,2019,342
A38130344,-,45201,宮崎県,2018,383
A38130344,-,45201,宮崎県,2019,304
A38136851,57,17380,石川県,2018,290
A38136851,57,17380,石川県,2019,317
A38147844,150,31202,鳥取県,2018,278
A38147844,150,31202,鳥取県,2019,264
A38153110,72,19420,山梨県,2018,289
A38153110,72,19420,山梨県,2019,289
A38170280,50,17201,石川県,2018,315
A38170280,50,17201,石川県,2019,308
A38172242,219,19206,山梨県,2018,321
A38172242,219,19206,山梨県,2019,328
A38175201,48,27212,大阪府,2018,267
A38175201,48,27212,大阪府,2019,258
A38189273,183,27102,大阪府,2018,325
A38189273,183,27102,大阪府,2019,312
A38192821,54,07214,福島県,2018,369
A38192821,54,07214,福島県,2019,304
A38323240,97,13105,東京都,2018,303
A38323240,97,13105,東京都,2019,280
A38515420,115,17201,石川県,2018,340
A38515420,115,17201,石川県,2019,256
A38538443,38,17201,石川県,2018,293
A38538443,38,17201,石川県,2019,289
A38572943,122,01236,北海道,2018,285
A38572943,122,01236,北海道,2019,291
A38576189,137,01202,北海道,2018,245
A38576189,137,01202,北海道,2019,319
A38600515,126,27109,大阪府,2018,280
A38600515,126,27109,大阪府,2019,378
A38633642,155,45201,宮崎県,2018,292
A38633642,155,45201,宮崎県,2019,294
A38634830,39,19211,山梨県,2018,325
A38634830,39,19211,山梨県,2019,322
A38667697,93,17202,石川県,2018,297
A38667697,93,17202,石川県,2019,302
A38679504,46,27227,大阪府,2018,303
A38679504,46,27227,大阪府,2019,334
A38693842,181,13102,東京都,2018,348
A38693842,181,13102,東京都,2019,285
A38725549,279,29205,奈良県,2018,291
A38725549,279,29205,奈良県,2019,260
A38829551,59,07209,福島県,2018,360
A38829551,59,07209,福島県,2019,322
A38848619,139,13117,東京都,2018,368
A38848619,139,13117,東京都,2019,310
A38853092,318,08211,茨城県,2018,325
A38853092,318,08211,茨城県,2019,336
A38855530,93,07212,福島県,2018,352
A38855530,93,07212,福島県,2019,329
A38894627,120,13103,東京都,2018,297
A38894627,120,13103,東京都,2019,300
A38897709,95,27123,大阪府,2018,272
A38897709,95,27123,大阪府,2019,268
A38952945,54,27121,大阪府,2018,315
A38952945,54,27121,大阪府,2019,304
A39021195,57,28202,兵庫県,2018,267
A39021195,57,28202,兵庫県,2019,273
A39146224,75,27209,大阪府,2018,266
A39146224,75,27209,大阪府,2019,325
A39153469,173,28202,兵庫県,2018,252
A39153469,173,28202,兵庫県,2019,276
A39282126,180,13122,東京都,2018,275
A39282126,180,13122,東京都,2019,311
A39306912,167,13111,東京都,2018,323
A39306912,167,13111,東京都,2019,333
A39360380,95,13115,東京都,2018,350
A39360380,95,13115,東京都,2019,266
A39419504,176,13121,東京都,2018,331
A39419504,176,13121,東京都,2019,336
A39421458,43,27128,大阪府,2018,281
A39421458,43,27128,大阪府,2019,276
A39485355,-,27127,大阪府,2018,298
A39485355,-,27127,大阪府,2019,266
A39491227,113,13120,東京都,2018,351
A39491227,113,13120,東京都,2019,325
A39505917,78,13102,東京都,2018,343
A39505917,78,13102,東京都,2019,334
A39542417,41,13123,東京都,2018,248
A39542417,41,13123,東京都,2019,319
A39581816,60,13119,東京都,2018,269
A39581816,60,13119,東京都,2019,301
A39613023,98,13121,東京都,2018,305
A39613023,98,13121,東京都,2019,305
A39724470,210,28110,兵庫県,2018,313
A39724470,210,28110,兵庫県,2019,293
A39807321,21,13103,東京都,2018,272
A39807321,21,13103,東京都,2019,264
A39831527,168,27227,大阪府,2018,308
A39831527,168,27227,大阪府,2019,241
A39931029,112,27215,大阪府,2018,324
A39931029,112,27215,大阪府,2019,284
A39933921,19,13107,東京都,2018,264
A39933921,19,13107,東京都,2019,264
A39960821,239,13116,東京都,2018,271
A39960821,239,13116,東京都,2019,284
A39985792,136,27106,大阪府,2018,304
A39985792,136,27106,大阪府,2019,283
A40128691,-,45201,宮崎県,2018,291
A40128691,-,45201,宮崎県,2019,326
A41110590,163,34205,広島県,2018,344
A41110590,163,34205,広島県,2019,331
A41121871,50,15213,新潟県,2018,287
A41121871,50,15213,新潟県,2019,291
A41122789,30,10206,群馬県,2018,332
A41122789,30,10206,群馬県,2019,287
A42104021,236,40227,福岡県,2018,377
A42104021,236,40227,福岡県,2019,308
A42128109,31,01107,北海道,2018,326
A42128109,31,01107,北海道,2019,332
A43122406,221,10201,群馬県,2018,315
A43122406,221,10201,群馬県,2019,287
A43129515,87,13113,東京都,2018,361
A43129515,87,13113,東京都,2019,320
A44109603,-,35203,山口県,2018,297
A44109603,-,35203,山口県,2019,280
A44123037,25,22210,静岡県,2018,305
A44123037,25,22210,静岡県,2019,299
A46112990,-,42201,長崎県,2018,328
A46112990,-,42201,長崎県,2019,330
A46116380,39,40131,福岡県,2018,325
A46116380,39,40131,福岡県,2019,257
A46125532,52,44201,大分県,2018,287
A46125532,52,44201,大分県,2019,253
A48001176,62,33213,岡山県,2018,306
A48001176,62,33213,岡山県,2019,313
A48009447,177,37203,香川県,2018,316
A48009447,177,37203,香川県,2019,350
A48014641,123,26214,京都府,2018,289
A48014641,123,26214,京都府,2019,267
A48039778,142,33103,岡山県,2018,284
A48039778,142,33103,岡山県,2019,265
A48078731,187,29210,奈良県,2018,349
A48078731,187,29210,奈良県,2019,302
A48089627,-,40106,福岡県,2018,312
A48089627,-,40106,福岡県,2019,355
A48137321,67,11216,埼玉県,2018,332
A48137321,67,11216,埼玉県,2019,302
A48167709,152,02203,青森県,2018,277
A48167709,152,02203,青森県,2019,284
A48188642,151,11210,埼玉県,2018,328
A48188642,151,11210,埼玉県,2019,291
A48528080,203,14206,神奈川県,2018,306
A48528080,203,14206,神奈川県,2019,346
A48552108,51,33101,岡山県,2018,299
A48552108,51,33101,岡山県,2019,288
A48558077,140,33101,岡山県,2018,344
A48558077,140,33101,岡山県,2019,282
A48563905,72,02203,青森県,2018,284
A48563905,72,02203,青森県,2019,250
A48579410,107,37201,香川県,2018,276
A48579410,107,37201,香川県,2019,287
A48593318,210,37400,香川県,2018,286
A48593318,210,37400,香川県,2019,276
A48597673,138,22340,静岡県,2018,368
A48597673,138,22340,静岡県,2019,274
A48628697,75,40109,福岡県,2018,325
A48628697,75,40109,福岡県,2019,336
A48644149,120,29201,奈良県,2018,269
A48644149,120,29201,奈良県,2019,325
A48650863,175,29360,奈良県,2018,242
A48650863,175,29360,奈良県,2019,275
A48664791,102,22225,静岡県,2018,297
A48664791,102,22225,静岡県,2019,299
A48672578,29,29206,奈良県,2018,302
A48672578,29,29206,奈良県,2019,320
A48703666,154,01104,北海道,2018,257
A48703666,154,01104,北海道,2019,325
A48729661,71,29205,奈良県,2018,335
A48729661,71,29205,奈良県,2019,332
A48737411,213,40103,福岡県,2018,292
A48737411,213,40103,福岡県,2019,342
A48751279,163,40213,福岡県,2018,335
A48751279,163,40213,福岡県,2019,310
A48768597,206,40109,福岡県,2018,347
A48768597,206,40109,福岡県,2019,274
A48833027,91,01209,北海道,2018,298
A48833027,91,01209,北海道,2019,337
A48982614,-,01235,北海道,2018,323
A48982614,-,01235,北海道,2019,253
A50116279,139,30208,和歌山県,2018,296
A50116279,139,30208,和歌山県,2019,297
A50144057,128,40106,福岡県,2018,340
A50144057,128,40106,福岡県,2019,273
A51119821,189,34207,広島県,2018,312
A51119821,189,34207,広島県,2019,273
A52129373,187,12208,千葉県,2018,353
A52129373,187,12208,千葉県,2019,341
A53103370,104,24202,三重県,2018,316
A53103370,104,24202,三重県,2019,319
A53122864,209,12232,千葉県,2018,308
A53122864,209,12232,千葉県,2019,269
A53129414,16,35215,山口県,2018,306
A53129414,16,35215,山口県,2019,280
A54102312,98,40380,福岡県,2018,292
A54102312,98,40380,福岡県,2019,303
A54122080,192,24205,三重県,2018,278
A54122080,192,24205,三重県,2019,313
A55102643,134,42201,長崎県,2018,318
A55102643,134,42201,長崎県,2019,300
A55127220,65,17360,石川県,2018,268
A55127220,65,17360,石川県,2019,305
A55129132,-,30380,和歌山県,2018,276
A55129132,-,30380,和歌山県,2019,289
A55156340,35,24207,三重県,2018,320
A55156340,35,24207,三重県,2019,246
A55491072,104,40133,福岡県,2018,332
A55491072,104,40133,福岡県,2019,239
A55620839,88,09213,栃木県,2018,307
A55620839,88,09213,栃木県,2019,302
A56115782,-,28202,兵庫県,2018,311
A56115782,-,28202,兵庫県,2019,318
A56126972,57,29201,奈良県,2018,250
A56126972,57,29201,奈良県,2019,280
A56129168,69,05204,秋田県,2018,224
A56129168,69,05204,秋田県,2019,263
A56231550,45,01103,北海道,2018,327
A56231550,45,01103,北海道,2019,287
A56335881,-,02201,青森県,2018,218
A56335881,-,02201,青森県,2019,362
A56482428,197,41206,佐賀県,2018,318
A56482428,197,41206,佐賀県,2019,347
A56591244,170,22101,静岡県,2018,255
A56591244,170,22101,静岡県,2019,304
A56709860,10,40203,福岡県,2018,282
A56709860,10,40203,福岡県,2019,332
A56735708,9,44201,大分県,2018,243
A56735708,9,44201,大分県,2019,281
A57288221,156,13104,東京都,2018,309
A57288221,156,13104,東京都,2019,368
A57342163,259,43102,熊本県,2018,284
A57342163,259,43102,熊本県,2019,295
A57378860,104,23205,愛知県,2018,299
A57378860,104,23205,愛知県,2019,270
A57422320,192,40132,福岡県,2018,322
A57422320,192,40132,福岡県,2019,304
A57749622,136,13204,東京都,2018,299
A57749622,136,13204,東京都,2019,257
A57835941,224,27118,大阪府,2018,261
A57835941,224,27118,大阪府,2019,312
A57847288,-,21212,岐阜県,2018,308
A57847288,-,21212,岐阜県,2019,290
A57847684,35,21214,岐阜県,2018,246
A57847684,35,21214,岐阜県,2019,277
A58106569,121,35201,山口県,2018,291
A58106569,121,35201,山口県,2019,288
A58113018,110,26202,京都府,2018,220
A58113018,110,26202,京都府,2019,304
A58117625,53,24205,三重県,2018,286
A58117625,53,24205,三重県,2019,367
A58123777,137,28209,兵庫県,2018,285
A58123777,137,28209,兵庫県,2019,276
A58132066,119,42207,長崎県,2018,299
A58132066,119,42207,長崎県,2019,321
A58132939,46,35201,山口県,2018,296
A58132939,46,35201,山口県,2019,305
A58134220,142,15222,新潟県,2018,312
A58134220,142,15222,新潟県,2019,269
A58134844,90,12238,千葉県,2018,309
A58134844,90,12238,千葉県,2019,290
A58136277,-,06206,山形県,2018,283
A58136277,-,06206,山形県,2019,275
A58136450,65,06210,山形県,2018,281
A58136450,65,06210,山形県,2019,355
A58157161,39,13121,東京都,2018,282
A58157161,39,13121,東京都,2019,271
A58167484,20,24214,三重県,2018,300
A58167484,20,24214,三重県,2019,296
A58179594,81,24205,三重県,2018,249
A58179594,81,24205,三重県,2019,268
A58185125,59,24207,三重県,2018,276
A58185125,59,24207,三重県,2019,300
A58374943,42,12420,千葉県,2018,326
A58374943,42,12420,千葉県,2019,323
A58437257,-,12217,千葉県,2018,343
A58437257,-,12217,千葉県,2019,300
A58520773,131,24207,三重県,2018,285
A58520773,131,24207,三重県,2019,328
A58540027,173,24207,三重県,2018,283
A58540027,173,24207,三重県,2019,253
A58543019,24,13111,東京都,2018,312
A58543019,24,13111,東京都,2019,312
A58552917,159,24202,三重県,2018,243
A58552917,159,24202,三重県,2019,273
A58579924,75,33202,岡山県,2018,310
A58579924,75,33202,岡山県,2019,323
A58583023,187,24202,三重県,2018,255
A58583023,187,24202,三重県,2019,264
A58590593,-,06340,山形県,2018,264
A58590593,-,06340,山形県,2019,310
A58777658,262,13116,東京都,2018,264
A58777658,262,13116,東京都,2019,296
A58801321,-,12232,千葉県,2018,349
A58801321,-,12232,千葉県,2019,281
A58884438,52,13107,東京都,2018,301
A58884438,52,13107,東京都,2019,262
A59113635,293,11360,埼玉県,2018,244
A59113635,293,11360,埼玉県,2019,278
A59117896,86,12102,千葉県,2018,328
A59117896,86,12102,千葉県,2019,298
A60114128,125,14153,神奈川県,2018,328
A60114128,125,14153,神奈川県,2019,351
A61109220,29,16205,富山県,2018,285
A61109220,29,16205,富山県,2019,295
A61113462,243,28213,兵庫県,2018,343
A61113462,243,28213,兵庫県,2019,295
A61122860,89,35215,山口県,2018,315
A61122860,89,35215,山口県,2019,289
A62114988,46,13103,東京都,2018,312
A62114988,46,13103,東京都,2019,271
A62118492,291,14153,神奈川県,2018,272
A62118492,291,14153,神奈川県,2019,324
A63112649,126,20218,長野県,2018,296
A63112649,126,20218,長野県,2019,325
A63120425,356,11108,埼玉県,2018,298
A63120425,356,11108,埼玉県,2019,293
A64125215,89,28102,兵庫県,2018,325
A64125215,89,28102,兵庫県,2019,295
A65104478,164,27128,大阪府,2018,318
A65104478,164,27128,大阪府,2019,277
A65117352,66,27143,大阪府,2018,295
A65117352,66,27143,大阪府,2019,313
A66100613,172,13108,東京都,2018,314
A66100613,172,13108,東京都,2019,274
A67122263,15,20340,長野県,2018,253
A67122263,15,20340,長野県,2019,297
A68004432,146,28203,兵庫県,2018,297
A68004432,146,28203,兵庫県,2019,300
A68009197,246,20320,長野県,2018,325
A68009197,246,20320,長野県,2019,287
A68045054,-,44201,大分県,2018,290
A68045054,-,44201,大分県,2019,321
A68089193,80,28204,兵庫県,2018,312
A68089193,80,28204,兵庫県,2019,357
A68111149,162,01590,北海道,2018,321
A68111149,162,01590,北海道,2019,293
A68144869,259,28105,兵庫県,2018,228
A68144869,259,28105,兵庫県,2019,332
A68146638,52,01207,北海道,2018,358
A68146638,52,01207,北海道,2019,290
A68152021,36,20201,長野県,2018,343
A68152021,36,20201,長野県,2019,243
A68174320,141,03201,岩手県,2018,300
A68174320,141,03201,岩手県,2019,287
A68180003,265,20201,長野県,2018,322
A68180003,265,20201,長野県,2019,259
A68181934,69,22131,静岡県,2018,249
A68181934,69,22131,静岡県,2019,360
A68544934,121,20217,長野県,2018,299
A68544934,121,20217,長野県,2019,296
A68579199,83,44201,大分県,2018,311
A68579199,83,44201,大分県,2019,288
A68582247,114,28110,兵庫県,2018,329
A68582247,114,28110,兵庫県,2019,297
A68584213,73,39205,高知県,2018,329
A68584213,73,39205,高知県,2019,294
A68587152,-,39201,高知県,2018,345
A68587152,-,39201,高知県,2019,305
A68605083,88,28105,兵庫県,2018,230
A68605083,88,28105,兵庫県,2019,247
A68652140,82,20201,長野県,2018,314
A68652140,82,20201,長野県,2019,300
