
äÈã∆ÉRÅ[Éh,èZèäÉRÅ[Éh,ÇsÇcÇaéYã∆ï™óﬁÉRÅ[Éh,éëñ{ã‡(êÁâ~),è]ã∆àıêî,ç≈êVä˙ã∆ê—îÑè„çÇ(ïSñúâ~)
756611511,1020515500,35971,10000,34,2728
756094632,1020401500,37191,5000,4,480
889324632,1020902400,35441,5000,0,30
786382842,1020404700,39632,5000,5,160
786370822,1020408702,34541,10000,2,15
933322301,1020213100,39401,10000,0,45
743320646,1020203100,36133,10000,35,50
908310790,1020803600,26402,10000,12,9
756063578,1021102100,36141,5000,33,90
786355972,1020708700,39621,10000,3,1100
786332435,1021104500,39651,3000,2,74
071504349,1020409102,24224,10000,7,160
756014534,1020517400,25301,15000,9,25
756948572,1020110000,35201,5000,10,200
756328356,1020513100,36804,5000,4,60
786089302,1020216300,37191,10000,1,274
786010164,1020902300,34431,0,12,290
786047522,1020302902,39699,5000,8,60
756095539,1052000209,35991,10000,25,200
786043680,1020509700,20701,10000,11,10
756324058,1020409102,36613,15000,0,35
786304942,1020708100,23408,8000,21,150
786027607,1020106902,20995,3000,1,31
756043387,1020515800,35732,3000,23,19
756992187,1020520100,38411,10000,1,12
756386781,1046000413,20999,4000,1,160
756870576,1020220900,39651,10000,42,90
756928038,1020211700,39651,10000,4,150
756007055,1020301507,35991,0,6,150
756815408,1021201900,38212,6000,5,120
756091979,1020515500,39881,10000,17,2036
786034355,1020304202,35412,30000,20,35
756854042,1020303304,29301,3000,60,25
786044323,1021000400,35951,20000,40,25
756343947,1020708700,34709,100000,0,70
299322119,1020202302,34431,4000,2,95
756627377,1044000304,20813,10000,18,50
030823432,1020301507,39632,8000,10,380
756010959,1020902500,34209,3000,5,35
756941181,1020402800,39221,10000,15,50
148325342,1020113700,37402,10000,7,22
786360853,1020412900,24111,10000,115,530
786013840,1020409102,35799,10000,1,1528
756393957,1038000217,33203,40000,7,30
071259834,1020214500,34431,3000,6,2767
133321946,1020108006,30603,3000,20,350
756305232,1020216400,35991,3000,53,130
756843343,1046000407,22999,10000,11,1283
756390754,1020203200,37191,3000,1,623
786352453,1020220900,35781,17000,0,96
756995370,1020520100,39621,5000,11,140
756946156,1020105102,39651,70000,1,80
756395601,1020504300,39651,10000,25,130
786027564,1020301503,25111,5000,33,168
786385162,1020800200,20709,3000,2,213
756857377,1020510000,37401,3000,17,40
179314059,1020513100,39612,4000,10,1400
756015214,1020204300,20999,5000,40,71
779329295,1020412900,22312,12000,28,75197
786377955,1020606800,33311,6000,16,820
647315966,1020515500,36629,3000,5,45
786323940,1021202200,20813,10000,5,75
756065560,1020607300,34541,3000,5,68
897324145,1038000209,27401,10000,7,724
786391574,1020505200,34541,10000,13,65
756885252,1020104000,37141,3000,60,65
786079512,1020512500,37191,3000,25,260
786353027,1021102500,26402,10000,9,1100
756064878,1020409500,34411,3000,12,1050
786078277,1038000209,39651,10000,26,50
756871885,1020505200,37141,60000,1,539
786366420,1020502600,35991,2000,20,280
756058859,1052000102,23407,20000,15,371
756948962,1020514000,34541,5000,12,90
756879603,1020100600,34523,11000,1,220
756981003,1034000506,24303,20000,0,13
878329505,1020304205,28271,99000,0,38
756816802,1020200300,27401,10000,12,21
235326299,1020505200,36629,3000,4,40
756819537,1021105000,37121,2000,8,48
151321503,1021101000,35991,14500,0,550
756319735,1020217500,34801,20000,26,4293
756087005,1020903000,39409,5000000,0,15
756990632,1020213100,20951,3000,40,630
756098956,1020108006,27401,36000,3,120
756835582,1020511000,36623,50000,3,406
756963522,1034000506,39503,10000,25,200
786008427,1052000306,39692,15000,0,220
786397475,1020520200,20111,3000,0,150
756822702,1020515500,34524,30000,3,70
786393280,1021000600,35991,10000,4,30
756855753,1020509500,33699,9500,15,45
756860601,1020406800,36191,35000,16,19622
756622665,1020301506,37141,3000,7,37
756627773,1020303400,34431,15000,2,130
397324223,1020510000,39881,3000,15,10
786028432,1020202900,34541,3000,18,400
786039212,1021101200,34431,3000,4,140
756996132,1020300102,37909,3000,22,50
756818095,1020800500,34541,100,0,56
756370933,1020108202,25111,0,31,30
756399512,1020215100,36631,30000,4057,731
786350279,1021202200,34541,30000,0,680
640323780,1020902900,36621,10000,67,62
786305892,1020520200,39304,35000,3,2000
756062584,1020403200,20519,2000,3,75
786347499,1020300104,35991,2000,1,170
786009667,1020109703,35991,5000,5,12
786048480,1021001600,36132,3000,2,750
756351563,1021202200,26402,10000,8,12510
756007250,1020404700,20111,5000,3,390
756329087,1020101800,37191,10000,4,108
756961992,1020104300,35991,3000,2,80
786048327,1020515500,25111,10000,1,120
786072507,1020103400,23805,3000,10,30
786036412,1020520000,29909,5000,7,89
786320192,1020409102,30603,10000,6,15
756994258,1021101900,39651,50000,2,100
756913072,1020301501,34431,10000,4,147
534319722,1020404300,36702,5000,22,145
074322215,1020217600,22311,3000,46,155
756098406,1020412900,35951,201887,13,9
786353838,1021101200,36191,10000,1,159
648329158,1020804500,20999,10000,14,293
756992642,1021201900,27401,10500,53,54
265328336,1052000515,34421,1000,5,118
756383270,1020208900,20702,7000,41,50
756351052,1020504300,36624,93500,1,496
756990860,1020514200,20199,3000,4,205
786362417,1020111003,34541,10000,7,30
756036321,1020301703,34531,5000,25,30
786020642,1020214500,34541,5000,2,921
756082119,1021000400,38212,3000,2,230
039408495,1021000200,27401,5000,1,300
756362582,1020505200,36133,10000,0,8
756805537,1020110800,25111,0,47,25
756024654,1021004000,36133,10000,2,140
786357352,1021002500,34431,5000,0,278
756390963,1020409500,32705,3000,46,14
786317524,1046000402,36629,0,1,50
756990023,1021200400,35991,3000,4,45
786016672,1020114500,39907,3000,8,880
786028321,1044001014,35951,100,1,240
756895304,1020104300,20701,10000,10,1
568311278,1020301503,34421,3000,162,539
756054252,1021003900,36622,3000,10,587
756329456,1020202000,22331,3000,2,10
756032580,1020904500,34541,4000,20,30
433320199,1020109100,34431,5000,17,520
786354375,1020803600,38432,15000,0,45
786351177,1020902100,36621,57500,5,25
756933528,1020303305,35991,10000,14,15
756979530,1020803700,34431,5000,15,260
756607630,1020517100,30999,10000,1,11
756823676,1020409102,37191,10000,4,44
786085562,1020708700,20111,5000,0,60
756339022,1020518100,35951,10000,11,22
094301896,1020108300,34999,50000,333,531
786387487,1020512700,34431,3000,4,120
756058509,1020517400,39691,3000,8,65
580328035,1044000208,27401,10000,3,60
756026374,1020110700,32231,10000,2,924
058321872,1020408302,34431,10000,4,179
756893773,1020708600,20995,10000,12,45
756868292,1020515500,27401,50000,3,130
756328223,1020210900,35991,3000,4,4136
786019635,1020107000,39692,5000,3,200
786048257,1020100600,39881,3000,0,28
756928300,1020116400,37121,4000,0,40
115317592,1021102300,37191,3000,5,52
786382842,1020404700,39632,5000,5,160
756034868,1020800500,38212,16500,4,10
786343820,1020100601,34431,30000,16,5
390321135,1020218500,27401,10000,8,80961
786390065,1020600900,35991,10000,18,45
756804033,1020404700,35951,10000,30,682
756092677,1020904800,36111,10000,1,120
756354355,1020708700,37141,10000,30,218
786386288,1020412400,34522,3000,4,15
786083972,1020412800,30603,10000,30,76
147310216,1044001035,34421,3000,4,539
756941632,1020211100,39501,10000,4,554
756045284,1020220400,27901,30000,19,28
840318930,1020112500,35991,5000,65,10
786368394,1046000401,35991,10000,2,19
786385905,1020204000,28524,5000,2,50
830301052,1020401400,25111,13000,7,9
894325246,1052000411,23301,30000,3,42
756995416,1020706400,27401,3000,43,4
149322302,1020503600,20996,5000,25,2677
756818857,1020116500,39699,5000,42,72
756097902,1020204300,35951,40000,12,1289
786081984,1021101300,23301,10000,10,12
756076404,1021002500,33159,3000,31,220
786347862,1020303301,34521,5000,109,298
786000723,1020100600,20951,10000,98,130
786368788,1020115400,33699,12000,15,70
786317662,1020305700,39881,2500,2,131
756878916,1020202600,20519,10000,4,12
786038727,1020100600,29301,3000,1,480
756315561,1044000203,35951,10000,0,61
756843862,1020101000,36809,3000,9,24
756037344,1046000403,38604,4000,3,210
786388536,1052000501,23999,10000,18,411
756061051,1020706600,37141,10000,5,130
756337334,1034000404,34541,10000,25,1
756361472,1021000400,34431,5000,200,236
786074496,1020217900,34431,10000,14,250
756002040,1052000209,37141,20000,1,108
756804417,1020220100,34541,10000,14,350
756047132,1020206700,36133,3000,17,100
756963912,1046000403,37191,3000,4,58
786393297,1021104400,30603,20000,24,10
756077556,1020708600,35991,24000,3,250
756823676,1020409102,37191,10000,4,44
980320397,1052000402,35991,3000,3,110
756948828,1020508300,20703,3000,8,1400
756853767,1020514200,37191,50000,12,100
290313931,1020217600,35951,10000,6,28
786323189,1021201900,32703,10000,5,3
756961075,1020404900,34411,3000,2,150
030018642,1020204300,34421,20000,22,45
786077807,1020220100,34207,25000,20,254
786078715,1052000407,37191,80000,8,449
756007250,1020404700,20111,5000,3,390
786075718,1020410400,28702,3000,25,35
756607228,1020803000,20302,400000,34,2888
786085703,1046000400,30603,10000,0,2280
430315976,1046000408,20995,24200,33,85
768320243,1020515500,20111,10000,15,17
756860504,1020218700,35991,3000,80,30
756877480,1021102500,27401,350000,3,288
756323587,1020517700,36809,20000,6,270
786048565,1020107802,20994,10040,4,100
786313715,1020505200,36801,10000,3,404
756841189,1020512500,34522,3000,12,100
756312324,1020500300,34431,3000,30,7
756963718,1020412900,39881,3000,1,27
131320712,1034000404,35991,10000,1,80
215318191,1020216300,35799,1080500,7,62
796218052,1020102902,34431,30000,1,410
786350747,1020116600,39402,10000,102,13
756999350,1020100300,20111,5000,8,540
756336260,1020114300,23911,3000,3,45
756605202,1020516400,25111,9500,2,1146
756874079,1020208500,23999,10000,19,11
716643011,1020108403,35991,10000,5,100
786384871,1020200800,36133,10000,102,250
783324013,1020515500,27401,10000,1,30
786377996,1020208000,23911,10000,1,130
786080032,1020600300,20121,10000,20,70
786382606,1052000107,35991,10000,10,1162
786349169,1020302807,20702,10000,5,33
756057702,1020211500,35971,10000,8,54
756013142,1020505200,35991,10000,16,824
756602610,1020301503,25121,20000,7,90
756334778,1020513100,25111,10000,9,136
698319538,1020600300,39501,1000,23,5
756931381,1020411300,34524,3000,4,608
756879603,1020100600,34523,11000,1,220
786023290,1020203500,34541,100000,3,9700
030019209,1021003400,27502,0,0,16
756940960,1052000211,34421,10000,50,174
756097857,1020206000,36624,3000,152,57
133315119,1020505200,34421,40000,2,3
756674903,1021202200,27401,10000,0,443
756347059,1020405100,36502,30000,35,50
786034915,1020520200,32702,0,4,55
668320792,1020302502,24111,10000,4,180
756800300,1020303306,39651,10000,50,603
756813097,1052000103,36633,57500,25,903
786381714,1020509300,23101,45000,0,17
039387164,1020903700,34541,10000,151,85
786387762,1020510600,20111,5000,1,14
756046846,1020401400,23999,3000,4,53
786380166,1020300905,34431,3000,5,750
756862435,1021202000,28931,10000,35,26
090325364,1021201000,27401,10000,10,18
756846056,1021000800,35641,10000,0,28
786311446,1020204300,39881,3000,1,515
756084996,1020506200,36614,3000,5,50
716841352,1020520000,34431,10000,1,3
756994176,1020408302,35991,30000,0,290
074761367,1020202600,39651,10000,4,80
786362615,1020507900,35991,6500,8,360
756342579,1020519200,28941,200000,1,1972
786087706,1020900700,27401,4000,7,515
786035402,1046000421,36702,10000,5,500
786388030,1020804200,37131,10000,1,820
756813945,1038000102,34421,4500,2,13
786387762,1020510600,20111,5000,1,14
786078310,1020300102,33721,6000,76,40
756818939,1021201900,36629,10000,2,200
756974827,1020900100,20999,20000,1,25
756992742,1020301506,25911,6000,0,290
756947705,1020302807,31909,50000,8,400
786384673,1020707000,39692,20000,3,45
786396096,1020205200,22601,13500,34,130
756858439,1020220400,32231,3000,4,1930
716811585,1052000511,39651,3000,4,860
988325372,1020903600,25111,5000,2,25
756332295,1020218700,35951,3500,1,1099
756008084,1020112003,39651,10000,15,24
786074402,1020105101,37191,10000,5,155
756949839,1020506200,20199,10000,2,83
756627282,1052000102,35431,250000,7,36
756965359,1021001200,34431,20000,38,193
756392859,1052000201,35991,1000,2,62
786002371,1020515500,35991,10000,21,340
756840321,1021201900,23999,8000,22,180
786018051,1020412900,27401,3000,278,130
786083267,1020512000,37501,70000,5,135
039784872,1020902300,35699,5000,4,120
756675520,1020800600,35731,17500,10,143
756018816,1020405000,35951,90000,3,2070
756311360,1020300105,35441,10000,4,154
756857509,1020512500,36621,5000,14,1003
786026560,1021201000,39881,10000,8,460
786011142,1020205900,25111,50000,2,290
786347117,1020218700,20941,10000,1,1780
197303609,1020221600,20709,51500,4,28
756868452,1052000108,24909,30000,40,38
786338276,1020108101,24111,10000,1,28
756095646,1020303505,35991,6000,10,1560
756977655,1020515500,23801,5000,15,175
756976869,1020401400,34431,12000,3,230
786328477,1052000336,20951,10000,5,30
756937195,1042000502,35441,3000,5,100
756908864,1020515500,34999,3000,20,90
756367912,1021202000,36133,40000,0,160
756327723,1020218700,26909,3500,38,243
786012042,1020215300,34431,10000,8,10
756343065,1020101902,34411,15000,3,80
756091692,1020203300,36809,10000,10,32
756610233,1020510200,35611,0,11,8
756964565,1038000105,34431,5000,1,37
756964524,1020903600,24112,10000,1,132
890314583,1020214804,23921,10000,14,720
756874041,1021002200,35951,3000,1,27
756881822,1020405900,35821,0,1,30
756933136,1021100400,23301,38000,3,30
756615517,1020300604,34431,10000,5,67
756009617,1020218000,34541,3000,0,30
786358132,1020207400,25121,3000,7,20
756072610,1020517200,22608,0,2,800
261315975,1021100500,20704,27500,0,521
756319878,1021002700,20999,0,9,886
786026092,1020404300,36624,0,0,1045
756995370,1020520100,39621,5000,11,140
756622665,1020301506,37141,3000,7,37
756099210,1020513300,20111,10000,170,100
077458422,1020515500,31601,10000,17,75
756993443,1020110800,35899,50000,9,15
786079871,1052000302,20996,300000,8,8
756055181,1020102301,38411,3000,2,100
032225802,1020106600,35699,10000,0,130
786009333,1020200800,35441,10000,20,165
756983271,1020216300,36141,3000,978,220
756946852,1020510700,35732,3000,3,1650
786006596,1020303301,20302,3000,5,620
786349717,1021201900,30994,10000,5,35
074829922,1020113600,34432,10000,78,5
756082441,1020301503,35891,3000,4,30
786015891,1020409500,39651,20000,12,304
915323924,1020204300,20999,10000,65,70
589311742,1020209800,20996,6000,0,400
756371805,1020505200,34431,5000,3,30
078601511,1038000109,34431,3000,69,110
756090893,1020214500,32221,3000,7,256
786034355,1020304202,35412,30000,20,35
756011206,1020104100,34541,10000,4,32
756342579,1020519200,28941,200000,1,1972
786003997,1021003500,23301,3000,8,50
544311955,1044000101,23406,5000,33,527
786023102,1052000308,36801,10000,7,18
233320306,1020212803,35899,12000,8,100
756313114,1020507100,35971,45000,0,303
756942946,1020300101,39909,8000,12,222
756814385,1020101505,20199,10000,3,30
786048396,1020402400,20121,30000,15,886
756883546,1020206500,27401,3000,3,479
756617070,1034000504,34309,4000,1,130
756826082,1021101300,35799,10000,10,11706
786049030,1020302806,35991,8000,24,14
756390997,1020117400,34521,20000,3,37
756302592,1021101200,34541,5000,6,110
548313460,1020112500,22312,24000,15,400
786000000,1020100600,34522,10000,8,50
756608565,1020103700,23808,3000,40,462
638323493,1020601200,37191,1000,2,40
756833503,1021004500,20409,3000,1,84
756058227,1020402000,35951,25000,12,223
786043187,1020215300,34431,20000,5,102
756095329,1020220600,23805,6500,5,88
534327788,1020510000,27401,10000,10,37
756617285,1020903700,35991,10000,10,110
756359361,1020509000,26309,10000,29,18
374320182,1021001400,35991,3000,1,50
756389901,1021002900,35951,10000,3,57
756991459,1020303302,23406,5000,22,150
756952300,1020116200,30603,3000,18,692
786008668,1020301505,39671,25000,1,587
030019827,1020409500,35991,3000,0,634
786041792,1020205700,23991,10000,2,40
071350203,1020505200,35991,3000,30,105
756996097,1034000404,28931,17500,6,20
756018110,1020708700,23301,3000,88,18
756002148,1020800900,20941,5000,4,430
786313601,1020407200,39692,11000,24,25
079072157,1046000418,26402,46800,5,680
756923972,1052000307,35991,5000,37,202
786351702,1020412900,35951,16000,20,153
786001154,1020200800,39652,3000,20,201
786004850,1020201900,39651,3000,18,51
945310022,1020504300,35951,1000,2,70
786049443,1034000501,34431,20000,3,92
756867317,1020200800,37141,10000,15,250
756960950,1020411200,39651,80000,1,45
786381021,1020516700,39699,10000,8,83
756341755,1020405000,35431,3000,4,1050
756036235,1020203100,34541,10000,4,2000
786040431,1020513300,35731,6000,4,46
786380856,1020110700,34431,3000,3,130
805317897,1020205200,34529,3000,25,20
716122354,1020303902,26909,10000,5,200
786345781,1020707100,20991,10000,40,89
074811857,1020300102,39692,15000,10,6030
786339576,1020117700,35611,10000,3,2296
786074222,1020404000,34541,10000,0,24
786078645,1020401400,20951,12000,50,740
164321038,1020410000,39671,5000,158,20
377320984,1020902900,32231,10000,0,1720
756673692,1020109000,34521,5000,0,520
786309288,1052000105,37191,50000,4,37
756961826,1052000105,23805,3000,4,100
030883883,1020410500,33134,3000,0,44
786084560,1021000400,35951,0,27,1100
414314896,1052000340,34431,3000,2,953
756399108,1020114100,35991,50000,3,305
756305122,1052000502,20951,4000,4,43
786358396,1020104600,20302,53800,1,95
756315342,1020204000,39906,6000,6,30
670318176,1020208000,27501,10000,8,2423
913324928,1020402300,36624,3000,3,48
464322699,1038000215,36133,3000,4,1162
756810472,1020215600,37191,3000,0,110
786348106,1020210900,23991,40000,3,150
786048884,1020901800,35741,3000,18,50
756090324,1052000401,24211,10000,0,249
786338512,1020204300,34529,3000,8,200
716057493,1020117700,27401,3000,12,30
786023102,1052000308,36801,10000,7,18
756879594,1020505200,35991,1000,1,8
756325467,1020404300,20999,3000,3,45
756866939,1021001700,39651,3000,35,540
105328713,1020102601,35951,45000,62,6
756004706,1020901200,36502,3000,8,200
988325372,1020903600,25111,5000,2,25
786040167,1038000113,37191,3000,100,245
756301636,1020111402,35951,10000,0,430
786077567,1020704202,38102,200000,0,49
756029576,1020109800,35441,3000,3,70
464322699,1038000215,36133,3000,4,1162
756620898,1020506200,36199,10000,0,9
756881915,1020217300,34432,3000,25,94
030823141,1020516200,39409,3000,3,10
241321678,1021103600,20951,5000,3,100
786398989,1020303305,26402,10000,0,100
756366722,1052000407,23801,10000,1,12
599324112,1020508900,35731,20000,25,48
679315932,1020218500,23408,10000,7,50
756907376,1020601800,23999,10000,0,100
159318108,1020304201,39821,36000,86,3
786078990,1020303303,20941,3000,45,20
786343672,1020411600,39881,10000,1,405
786034579,1020208500,27401,10000,14,18
756949783,1020304201,36133,10000,3,290
786350431,1020111200,39671,10000,10,150
756862086,1021000200,20813,10000,5,45
756804129,1020113700,36133,98000,7,2476
756326677,1020902100,20701,5000,0,1946
756965217,1020412800,27902,3000,9,40
786356211,1020112800,35301,10000,4,120
756368364,1020515500,39651,100000,0,35
756965273,1021101000,34421,3000,4,6
756367321,1020209900,36133,66300,3,3
368321044,1052000209,34431,30000,0,73
756625214,1046000415,27901,18000,4,480
756319735,1020217500,34801,20000,26,4293
786073118,1020105600,26402,5000,5,35
786390607,1046000407,39909,50000,2,150
756946852,1020510700,35732,3000,3,1650
786081392,1038000110,24111,10000,1,30
756607630,1020517100,30999,10000,1,11
756845594,1020517300,34541,5500,2,160
756370572,1020503600,35991,3000,6,17
786089604,1020504900,20999,10000,8,40
756002040,1052000209,37141,20000,1,108
786018542,1021000100,39651,10000,2,90
786335647,1020203100,39652,10000,26,417
786080754,1020104300,20999,10000,3,60
756066388,1020516400,34431,5000,7,20
786382877,1020902400,20999,98000,23,300
756965332,1020902300,34431,40000,0,79
756953097,1020219000,24125,6000,7,160
756382996,1042000917,37111,10000,2,45
786395625,1052000207,34521,10000,1,385
756964396,1020215700,36621,3000,1,300
756903309,1052000307,36629,5000,10,21200
786383398,1020201800,34431,47500,18,24
786089652,1052000203,35951,10000,3,30
756076478,1020100600,36622,0,6,172
756060810,1020515000,34432,3000,14,45
128329720,1020215203,37141,3000,2,720
786000579,1021003900,33392,3000,3,60
868310275,1020504300,39698,10000,5,43
786357517,1020800200,34521,3000,30,35
801314765,1052000203,34431,10000,5,25
756085541,1020515500,26402,40000,64,180
756350511,1020222300,39402,10000,2,2000
756357542,1020412500,39662,100000,3,60
756394393,1021100300,38411,3000,74,17
756315714,1020708700,23999,5000,17,390
449310337,1020512700,39111,10000,13,912
301322582,1020600900,39652,5000,2,1033
756941351,1020406700,34431,20000,3,612
756057886,1020404700,36133,5000,0,270
756943974,1020605600,20111,44080,2,110
756995579,1020412300,35991,3000,1,35
786395482,1044001012,39671,3000,47,30
786010338,1020300102,37191,4500,10,17
786089652,1052000203,35951,10000,3,30
756082214,1020411901,39219,30000,10,370
756816491,1020211700,35991,45000,7,60
786027570,1020903500,39699,10000,51,60
786074217,1020217300,34421,15000,4,46
665325554,1021202000,32229,3000,6,1024
786343052,1020203300,33721,20000,9,40
786047426,1020208000,35991,480000,1,30
607311561,1020212900,30603,50000,21,8
358328947,1021201000,34541,5000,35,90
756049848,1020213300,20703,12000,2,1102
757314462,1020403800,36629,10000,15,10
786340427,1020108001,34541,10000,100,45
756607912,1020207500,36629,5000,0,20
786039450,1020102000,33392,20000,58,70
756010382,1020707300,34431,3000,5,18
786010892,1038000105,36624,0,4,145
786032792,1020409500,35431,0,15,78
756992369,1020402200,22412,10000,4,6315
786085965,1020103400,25111,3000,11,4600
303315759,1020305700,35761,5000,7,100
756881327,1020208600,35731,3000,2,10
786369617,1020412101,32221,5000,12,50
756387529,1020408901,35899,0,0,9
756047132,1020206700,36133,3000,17,100
786390291,1020510100,39652,10000,4,16
756620150,1038000113,39651,10000,140,68
786039450,1020102000,33392,20000,58,70
756385460,1020304600,24111,3000,17,42
756835638,1021201900,35441,6000,18,29
458329196,1046000423,37191,8000,30,75
756049098,1020300102,34524,3000,0,900
756993443,1020110800,35899,50000,9,15
756311668,1020217900,36502,10000,44,3103
786031731,1020109201,34431,3000,8,272
685323628,1020216300,20209,16000,4,251
786010450,1020219200,35731,10000,8,1420
756394036,1020705800,35991,3000,0,20
230321585,1020203100,39651,10000,10,20
756361032,1021004500,35991,3000,1,2166
535329035,1044001034,39651,10000,15,82
