
äÈã∆ÉRÅ[Éh,èZèäÉRÅ[Éh,ÇsÇcÇaéYã∆ï™óﬁÉRÅ[Éh,éëñ{ã‡(êÁâ~),è]ã∆àıêî,ç≈êVä˙ã∆ê—îÑè„çÇ(ïSñúâ~)
716037505,1020219000,35991,444000,4,95
786048884,1020901800,35741,3000,18,50
786080951,1020102601,27401,1000,61,100
756053382,1021003900,36624,3000,1,68
311329541,1052000402,35951,5000,6,5
756093560,1020108900,20302,3000,1,240
786346287,1021104200,39651,10000,1,65
756056394,1020117100,34431,83000,6,390
756367912,1021202000,36133,40000,0,160
786317012,1020505200,34541,5000,5,240
726164394,1052000102,34431,1000,2,46
756855406,1020108101,22603,3000,8,100
317319934,1020104800,20994,3000,53,5088
756951162,1020505200,24303,8000,6,61
756002911,1020515500,36702,32000,75,160
756994892,1021000400,39881,10000,19,9
756093128,1020108101,22601,0,6,95
786365032,1020520300,37141,3000,2,110
756973453,1020510500,35899,10000,4,122
303320878,1020222200,34541,10000,20,74
756608364,1020206800,27401,3000,30,22
786027367,1020202000,39662,99000,2,200
786083213,1020203100,32703,10000,19,30
756967918,1020403800,39651,100000,7,420
786355656,1034000401,37191,0,4,223
975323043,1020215204,22999,1000,4,390
756086410,1046000408,34801,10000,0,100
786386024,1020513100,32411,5000,27,50
756835477,1052000514,39699,3000,4,6614
955311068,1020405400,34511,3000,3,40
757315382,1021202200,35431,10000,38,60
757314462,1020403800,36629,10000,15,10
786004028,1021201900,38411,68000,3,150
786354848,1020209402,36629,3000,2,40
786038770,1020515500,39652,3000,13,172
969321002,1020411400,39651,3000,2,2510
074811857,1020300102,39692,15000,10,6030
756376702,1020105700,20941,4500,5,30
756098635,1021000800,35991,3000,18,249
179321512,1020903000,37141,8000,6,60
159318108,1020304201,39821,36000,86,3
756888531,1020218200,39302,200,3,219
786372110,1020219900,36622,10000,1,28
756945479,1021201900,34999,10000,0,30
756078497,1020302401,34432,3000,0,415
756862873,1021102100,24111,10000,8,100
756398982,1020708700,35441,8000,15,68
786330017,1020705300,38411,8000,38,143
786339162,1052000109,27501,10000,1,26
756956602,1020403900,36133,10000,1,200
786000000,1020100600,34522,10000,8,50
756060567,1020412900,35991,3000,18,900
756093045,1020515500,23301,10000,2,65
756012262,1020300102,37131,0,11,50
786399017,1020505200,35991,3000,7,200
699328663,1020512700,39651,10000,69,1223
700329522,1020115100,35951,0,10,2782
786338605,1020512500,27201,10000,34,3941
075686083,1020404700,33134,10000,5,23
786368394,1046000401,35991,10000,2,19
786349832,1021201900,24211,3000,11,2881
786380171,1020800300,23301,10000,9,127
786350052,1052000201,34521,8000,8,44
786305422,1020113004,20702,10000,4,28
134328292,1020520300,36111,3000,18,2
756627784,1021002700,39662,10000,3,320
756948360,1020219000,36623,3000,7,130
786006596,1020303301,20302,3000,5,620
756029318,1020100600,27401,3000,9,70
756825501,1020902900,23301,2000,110,260
756037402,1038000211,34541,10000,5,6
756843343,1046000407,22999,10000,11,1283
786009387,1020505200,35991,3000,2,90
756834120,1020517600,35991,6000,0,343
786040237,1021004500,30603,10000,140,34
786045721,1020204300,20951,10000,4,125
786364048,1046000403,20519,3000,3,6504
605321978,1021100300,36629,3000,10,13
786327601,1020304201,35431,10000,5,3509
756613075,1020205200,27901,3000,30,19
884323140,1020405000,39651,3000,120,600
756004359,1021202000,28702,3000,1,20
756013044,1020709300,36622,3000,35,115
756008225,1046000415,35991,5000,195,30
756354086,1020404000,35911,3000,70,36
426165985,1021101200,39652,59000,2,8
786072181,1020510000,24222,5000,1,150
756333088,1020402400,34541,20000,9,36
786072449,1020502600,36133,20000,4,60
786302341,1021100300,35921,5000,5,130
168303142,1052000308,37191,10000,32,90
756049471,1020101700,35991,3000,2,9
756010565,1020704203,35991,5000,2,2186
756376702,1020105700,20941,4500,5,30
756607362,1020405000,34541,3000,0,155
756817569,1020901500,20996,20000,25,55
756939698,1021003200,33801,10000,20,48281
786369172,1038000207,35951,5000,3,8
756908864,1020515500,34999,3000,20,90
756074533,1020204500,27201,40000,1,20
786383670,1021001100,35951,3000,0,350
756930287,1020507100,32231,32500,26,230
756952632,1020412900,30603,5000,1,15
737324452,1052000210,34431,10000,47,80
786326276,1052000207,34431,8000,18,1
245316433,1020403900,20519,0,0,30824
786027215,1020511900,34541,3000,2,446
756014534,1020517400,25301,15000,9,25
756609995,1020515200,36199,9000,12,24
756878916,1020202600,20519,10000,4,12
756088797,1020411901,36133,3000,5,60
756893211,1020404700,36133,3000,2,94
756018303,1021102500,39651,4000,0,12
756855222,1020408200,20302,0,1,342
964316857,1020515500,20999,35000,18,13
756046680,1020402000,34421,40000,14,25
157304643,1020115800,20813,3000,3,255
756324646,1020108900,20999,30000,1,9
786019064,1021000200,35991,20000,1,253
786312718,1020117700,34522,3000,11,32
756862652,1020408902,36632,3000,0,600
756931821,1020902400,36133,10000,0,10
756382747,1020504900,20996,3000,22,30
756092612,1020520000,34431,10000,14,120
786304547,1020216400,23301,3000,4,1803
756889239,1020210300,34521,3000,5,680
786040892,1021201900,35951,10000,2,12942
786014403,1020404600,24224,70000,8,160
756629112,1052000209,32191,10000,1,632
605320216,1020512500,26402,5000,8,50
786049741,1020301701,32231,40000,4,65
321329384,1020300604,39821,3000,40,279
786386024,1020513100,32411,5000,27,50
756871534,1021100300,34431,10000,13,20
786328400,1020101700,36501,30000,0,50
340320094,1052000207,34541,40000,19,370
115320034,1020302401,39651,10000,11,98
567314486,1052000201,34421,35000,9,65
786362129,1020213200,29301,46800,3,165
756325467,1020404300,20999,3000,3,45
756910719,1020504300,35991,5000,12,88
786008962,1020202700,34522,5000,162,434
786356762,1020204300,34541,20000,12,280
538317564,1020105700,27401,40000,0,160
756823934,1020700601,39651,10000,50,450
756013951,1046000413,35899,12000,54,5180
756979635,1052000307,37191,3000,25,6
786013392,1020519500,35991,0,6,1020
455311164,1020705800,34411,40000,60,15
756981044,1020902300,33502,10000,3,38
756076300,1021105100,24221,6000,35,12
756979104,1020500300,35991,10000,0,95
756850817,1020302806,27401,10000,19,20
979314338,1042000805,24222,3000,3,90
150310455,1020111901,20951,100000,4,170
786347728,1020404500,36131,7000,4,35
786398923,1052000207,34421,5000,20,80
071665615,1020903000,27401,5000,13,50
756813051,1020116400,25111,10000,0,55
716931252,1020517600,34431,10000,21,17
756002265,1020517700,34431,10000,3,8
786390774,1020502000,34524,1000,19,8
786325959,1020703400,35732,36000,2,55
756005444,1021201900,35951,5000,20,40
786338115,1021202200,22311,10000,15,75
786076963,1020505200,37131,5000,30,5059
786340842,1020411500,30603,3000,1,90
786390203,1021101700,39409,3000,79,837
039331336,1046000405,35781,10000,53,120
343318049,1021101000,35991,10000,0,45
756045712,1021002100,34529,3000,3,217
073932984,1020505200,33137,10000,10,2
756956549,1020408200,31701,6000,15,143
435313159,1020901500,23407,5000,1,38
355320686,1020403600,35951,3000,9,366
756385321,1020210900,20999,5000,5,785
030019352,1020110400,38411,3000,14,350
715322077,1020803600,34529,3000,3,20
756881822,1020405900,35821,0,1,30
756875907,1020108101,36133,5000,3,9
786359962,1020204300,39621,300,1,27
599324112,1020508900,35731,20000,25,48
934314502,1020515500,39881,3000,8,76
786336282,1020517800,23991,5000,2,319
756091408,1020900100,22607,20000,1,25
756062792,1020510900,35731,10000,15,160
039340610,1020300905,36624,3000,45,190
786356832,1020200900,24112,41140,20,138
756026507,1038000113,37121,28000,47,35
756832686,1020708100,39304,15000,3,40
756033438,1020513900,35799,3000,3,140
786312827,1020203200,35731,3000,3,55
661321533,1020515500,35991,3000,1,12
756359791,1021100300,34421,40000,8,420
756078873,1020300602,39909,8000,2,73
756343728,1020113100,35991,5000,11,91
786007094,1020507900,20812,10000,0,70
786079512,1020512500,37191,3000,25,260
756609995,1020515200,36199,9000,12,24
987320881,1021101300,35899,10000,2,37918
786356902,1038000105,34432,5000,2,510
115317592,1021102300,37191,3000,5,52
756859855,1020204300,35412,5000,16,100
756074533,1020204500,27201,40000,1,20
756038241,1020117500,35441,20000,1,90
756808412,1020305700,35991,10000,21,2271
756062014,1021000800,24111,5000,10,450
786079446,1020208300,22312,20000,0,15
455324522,1020303902,25111,50000,4,55
756323669,1020210800,34431,200,102,489
756987112,1020105700,24111,10000,4,110
091310871,1052000411,20121,10000,4,50
628318012,1021202000,20996,1688630,55,45
786368361,1020804700,22399,3000,0,35
756901640,1021201900,35951,0,0,300
756338828,1020505200,34431,3000,2,90
347321776,1046000410,35732,4000,1,110
076472801,1020412900,36141,5000,1,20
756848377,1020112500,35991,10000,1,120
786000903,1021100500,22971,10000,1,68
786085031,1020302503,34521,25000,110,72
091310871,1052000411,20121,10000,4,50
756056234,1020302401,34421,5000,7,600
756319367,1021000400,32703,20000,3,70
756084397,1020510300,35991,8000,380,50
726164394,1052000102,34431,1000,2,46
756816158,1020402500,34541,3000,3,240
073266789,1020220600,37191,5000,6,14
756399132,1020513200,20111,5000,92,40
756862873,1021102100,24111,10000,8,100
786371268,1020500300,35951,10800,2,190
756617768,1020205500,35991,16000,15,90
756007725,1052000112,35951,10000,6,50
756937357,1020216300,34431,10000,6,180
786016095,1020409000,39651,3000,20,1395
756945922,1020503600,35699,10000,1,485
072284353,1020220100,28911,100000,20,48
786076865,1038000108,22999,5000,8,110
786329429,1052000307,34431,20000,5,391
786018051,1020412900,27401,3000,278,130
756928038,1020211700,39651,10000,4,150
039751515,1020301703,39651,3000,36,180
756007889,1020113500,34541,10000,7,60
756948326,1020511500,20811,10000,2,300
786397159,1020902400,20701,42000,7,876
756024882,1020221300,23301,40000,10,56
786348403,1021100300,37191,35000,10,90
756011335,1020303306,36199,10000,3,1120
786337100,1020215100,23999,60500,11,215
756924841,1020517400,24909,10000,8,93
078919082,1020105700,37191,3000,72,230
756857386,1020117000,34432,10000,0,90
756394612,1020105700,20912,6000,3,19
669328074,1020412500,36133,3000,5,4917
058321872,1020408302,34431,10000,4,179
025314331,1020213400,39909,100000,12,30
756305122,1052000502,20951,4000,4,43
786382624,1020301506,34411,3000,6,16
786049940,1020900100,35921,10000,9,70
786342225,1020605500,30603,0,32,11706
786085493,1020218400,39692,25000,42,58
530326912,1038000304,23999,3000,44,210
420313880,1020515600,34431,3000,6,16
756812386,1020303305,37191,3000,10,80
786361985,1021002900,35991,0,0,1003
756305122,1052000502,20951,4000,4,43
756375384,1021201000,36132,8000,0,70
756875853,1020403500,35971,3000,2,220
756607066,1020216200,33721,10000,2,1880
756882657,1020412900,20912,3000,34,120
756823942,1046000403,37322,10000,0,670
786393387,1020705400,32231,6000,195,151
756996631,1020515500,27401,3000,2,35
756872977,1020101100,39651,20000,65,107
756856582,1020208900,23991,35000,25,0
756800255,1020203100,36133,10000,9,90
756965175,1020517300,20202,3900,0,100
756090568,1020516800,34421,10000,21,80
756999454,1020408200,34431,100000,3,210
756381412,1020506200,36702,0,8,12
756980351,1020114600,27401,25000,8,329
756605752,1020504300,22971,8000,69,40
756671052,1020408200,36702,3000,7,50
756364022,1021202200,20199,5000,0,20
756071322,1020201900,39881,3000,1682,370
079098649,1020205200,34529,10000,0,336
756947731,1021201900,26403,57000,15,9
930321572,1020601600,39881,8000,7,914
786085965,1020103400,25111,3000,11,4600
756311668,1020217900,36502,10000,44,3103
786399127,1020515500,20999,3000,3,620
756964565,1038000105,34431,5000,1,37
756079557,1052000201,22607,7000,44,106
786327394,1052000306,35991,12000,0,20
955324136,1020223500,26301,8000,0,100
756042664,1020515500,32221,3000,6,110
756097316,1020708700,35991,0,0,220
786358150,1020605600,32231,10000,50,115
786355656,1034000401,37191,0,4,223
756021142,1044000201,39503,424000,5,70
786020668,1021002700,20702,10000,5,30
756389407,1020520000,35991,45000,38,260
756886624,1020101700,23805,10000,23,3726
756953778,1020304900,25301,3000,1,190
756089961,1052000329,35991,25000,3,23
756618876,1020510000,36612,1000,8,142
756808742,1021002200,20996,30000,1,20
267324324,1020504300,39622,50000,15,40
786388030,1020804200,37131,10000,1,820
756057702,1020211500,35971,10000,8,54
756056595,1052000201,27501,4500,2,23
094301630,1020500300,35641,3000,3,30
786399017,1020505200,35991,3000,7,200
756823843,1020204400,28702,5000,10,580
756801855,1052000401,25111,3000,4,45564
756004194,1020102501,39909,3000,5,20
756376219,1020517700,27401,30000,0,5519
758317392,1021102500,34541,0,0,120
051311112,1020405700,35699,10000,9,30
030823263,1020517300,39661,10000,7,19
786360588,1038000113,22312,3000,4,13
786336857,1020108900,32151,3000,15,230
120325597,1038000108,20951,5000,18,10
786008995,1052000506,39881,3000,2,50
756867682,1020305700,36624,20000,1,254
786335622,1020804200,23911,10000,2,254
786020592,1052000209,35411,9885337,4,400
756340912,1044001011,39662,10000,8,280
311319001,1034000404,39692,3000,7,614
756335208,1052000101,34411,7000,2,11
756069113,1020209401,39909,10000,7,180
756002911,1020515500,36702,32000,75,160
756021588,1042000919,23921,10000,65,894
756021142,1044000201,39503,424000,5,70
756059173,1052000305,35951,5000,17,60
786022139,1021201900,34431,10000,31,100
756045741,1044000203,36621,3000,10,300
756818498,1020404900,20994,5000,0,25
539318669,1020507100,33399,30000,30,180
756321945,1020100600,20523,10000,1,60
796664286,1020708500,35799,3000,25,160
756006585,1020513100,37191,60000,4,35
756342220,1020404000,39881,10000,0,40
786313657,1021201900,34911,20000,18,90
786362939,1020510000,22999,3000,1,30
786029282,1020409102,25111,10000,80,400
786026899,1034000401,27201,5000,5,15
786343722,1020100600,39651,100,6,60
786039062,1020404700,36621,5000,2,4993
756039652,1020409102,34999,3000,0,12
786021619,1020803800,39651,7000,6,505
786032153,1020201800,23999,4000,3,86
786382347,1020218700,36624,3000,3,480
786049303,1021104900,37141,10000,3,96
786358884,1020804500,36133,3000,20,30
615328200,1020115800,20999,1000,3,9
786359712,1042000919,34421,3000,11,280
809328862,1020117500,20813,10000,1,96
756093366,1046000424,23991,3000,15,280
786074653,1020515200,39908,12000,3,30
611321382,1020113500,25111,30000,20,672
390329513,1020705300,31701,30000,8,100
989314585,1021003400,36133,3000,6,92
321322326,1020404700,25121,3000,0,160
855305459,1038000301,25301,3000,4,36
786388536,1052000501,23999,10000,18,411
756997892,1052000211,20121,20000,0,2238
607311561,1020212900,30603,50000,21,8
756078108,1020220700,35991,5000,8,116
786357802,1020517600,36629,20000,2,218
756031592,1020405900,20951,0,0,102
756317366,1021001600,20702,10000,0,70
756989402,1020100302,35991,10000,1,19
756604299,1038000215,20996,5000,1,52
078882765,1021003600,25111,5000,3,24
030823681,1020107802,39671,10000,4,290
756025136,1020518700,34411,10000,22,135
756800255,1020203100,36133,10000,9,90
756861371,1034000403,20813,3000,0,30
351327122,1020204300,35661,5000,5,24
756339811,1042000919,35732,10000,1,40
756024870,1020303505,39651,15000,3,20
756367912,1021202000,36133,40000,0,160
786002036,1020708400,39402,48000,2,370
756351440,1020301400,35991,10000,7,90
786363169,1052000401,34421,3000,2,21
756925351,1020216300,39632,3000,9,100
756843025,1020103900,33312,70000,3,26
756978762,1020509200,34801,5000,10,120
786334209,1021001700,35991,190010,3,7
289312884,1020408200,23991,10000,10,8
786010829,1020301506,20302,10000,6,240
032225744,1020405600,23101,10000,8,23
039196326,1020900500,34529,10000,40,0
439320316,1042000717,37141,1000,20,30
756090822,1020408702,34529,10000,10,15
756068748,1020109100,32703,50000,0,50
786008668,1020301505,39671,25000,1,587
073266789,1020220600,37191,5000,6,14
320328550,1020520100,35951,3000,8,40
756028617,1020514100,35991,5000,15,50
756999204,1020300601,34529,5000,15,296
756940558,1020303902,35951,2000,2,60
075008113,1020406800,37191,10000,3,20
756959012,1020103400,33721,30000,10,150
786048396,1020402400,20121,30000,15,886
756895304,1020104300,20701,10000,10,1
310325202,1021002600,35991,3000,25,26
756963827,1020406100,28911,10000,10,5
561312308,1020206500,35441,20000,22,180
780328593,1021102300,35441,10000,1,50
756608789,1052000329,35991,10000,8,85
931311882,1020303304,35441,3000,3,201
756949522,1020407000,25111,3500,110,450
756924207,1020518100,20812,26250,32,160
074633930,1020115800,35991,10000,6,886
098321752,1020108101,20813,5000,2,21
786049273,1020901500,22999,10000,5,4136
877319997,1020405400,35951,10000,15,80
756998833,1020304900,32703,3000,29,134
786039540,1021201000,22605,3000,0,23
786340904,1020409000,20209,80000,50,34
700315934,1021201300,27401,10000,52,65
230321585,1020203100,39651,10000,10,20
786039022,1020405800,27401,3000,45,52
786004126,1046000423,37111,5000,54,40
786384103,1034000502,35991,5000,1,50
241321678,1021103600,20951,5000,3,100
786049402,1020105900,39699,10000,14,100
756084996,1020506200,36614,3000,5,50
786332604,1020706000,39651,3000,27,20
756018765,1020803800,28702,10000,2,432
756873937,1020304202,35951,10000,8,130
756095539,1052000209,35991,10000,25,200
786330056,1020410500,36621,424000,30,30
786008054,1038000103,34999,3000,0,190
786397599,1020512900,35991,3000,35,425
756385319,1020211800,35891,10000,1,28
756006593,1046000402,27401,10000,3,1575
268327146,1020300101,27401,3000,12,4
756355569,1020902700,23101,10000,15,28
368314678,1020509000,36199,10000,0,300
140315542,1021000100,20302,35000,26,70
756609054,1038000105,20996,3000,5,50
756858501,1020504300,39662,10000,3,102
890314583,1020214804,23921,10000,14,720
786017974,1042000705,35991,10000,12,50
420313880,1020515600,34431,3000,6,16
786026413,1020505200,34431,40000,4,1203
756029768,1020220000,35441,8000,14,10
786357415,1052000209,27401,10000,10,185
786377192,1020412103,36624,5000,35,350
786075629,1020513000,34431,6000,0,20
786372110,1020219900,36622,10000,1,28
756959463,1034000401,35611,8000,2,18
076464449,1020204500,39821,5000,4,75
756824541,1020803300,35991,0,3,837
756095819,1020504300,34529,10000,3,36
756365028,1020303301,35951,3000,40,160
756970636,1020212803,37121,16300,17,40
756308554,1020115800,39699,4500,32,13600
756026766,1020513100,36624,3000,24,90
756850817,1020302806,27401,10000,19,20
786043680,1020509700,20701,10000,11,10
756958538,1020601800,37191,16000,3,780
756915425,1020214400,35951,88880,0,8
039340610,1020300905,36624,3000,45,190
756880048,1020408902,35731,30000,256,646
756399132,1020513200,20111,5000,92,40
756900161,1020508300,22605,10000,0,1000
786321648,1020105102,36621,3000,6,5898
786083276,1020207400,32993,3000,0,680
756893815,1020203100,26402,10000,10,1207
756843201,1020602700,35781,3000,15,340
756981748,1020406800,37191,3000,16,2990
786040431,1020513300,35731,6000,4,46
971329027,1020115600,37121,10000,1,200
786014562,1020109100,26402,10000,14,48
756375032,1020515500,35921,6000,3,45
076464449,1020204500,39821,5000,4,75
756369332,1020204300,35971,3000,2,80
351327122,1020204300,35661,5000,5,24
756380385,1020214400,34431,325000,85,12
786047066,1020223400,22312,14000,10,175
716881284,1020217900,30603,3000,57,6
716932193,1020504100,39881,20000,5,19
076577307,1020303505,35301,0,10,200
756853611,1020204300,35991,3000,20,65
756961089,1021001200,34522,10000,5,142
756055982,1020301702,35951,20000,1,1100
756063519,1020111003,37141,5000,10,30
025314331,1020213400,39909,100000,12,30
239320250,1020113100,34411,10000,5,245
756608166,1038000105,27401,3000,65,70
716144082,1020217100,35971,10000,23,230
251312618,1020302802,36133,10000,2,40
756303393,1020301507,32703,5000,7,180
756023985,1020400300,35951,3000,8,160
756877292,1020109100,35991,6000,0,350
786073487,1020115100,22999,5000,0,40
786013162,1021201000,25111,6000,14,47
756397256,1020106600,39111,0,25,400
786042947,1020204300,34431,3000,1,350
756333088,1020402400,34541,20000,9,36
756963190,1020100603,35301,10000,850,500
756008906,1020411200,25111,30000,32,20
756997098,1021202100,35951,10000,4,30
756018303,1021102500,39651,4000,0,12
786362615,1020507900,35991,6500,8,360
786049828,1020517700,22411,25000,18,766
756300740,1021003300,36133,3000,2,230
786306636,1020100800,20519,20000,10,8
756859216,1020512500,35799,73000,6,220
756393446,1020605600,35732,10000,4,90
786087765,1052000102,35951,10000,60,40
756948758,1020509200,32703,3000,3,850
786396214,1020215100,34421,3000,1,60
786083553,1020505200,34421,10000,29,60
756095302,1020202600,34541,10000,2,14
786024777,1020402400,32703,3000,97,938
786347804,1020900500,27401,45360,1,140
756989470,1020515900,35991,25200,14,15
756040661,1020106800,35991,12000,45,103
756963352,1020505200,23991,3000,3,953
786081530,1020412900,35781,0,1,50
497311475,1020901500,35611,3000,13,35
786074557,1020205100,34431,99000,5,22
786376604,1020215100,35951,10000,3,210
756880138,1052000203,37191,0,8,140
756302765,1020303303,25992,90000,1,18
786396162,1020505200,20519,10000,3,48
786364029,1020408000,20951,10000,28,28
485314696,1020216300,20199,10000,15,27
756375223,1021202200,35951,3000,65,12
185310771,1020511400,34911,5000,14,550
786353027,1021102500,26402,10000,9,1100
756963505,1042000705,36622,3000,7,60
181311612,1020504300,34521,0,0,110
756078245,1020903600,39699,5000,0,280
786038018,1021101100,20409,3000,0,50
786024894,1020304201,35441,50000,9,115
786013122,1020601700,35991,12000,13,0
786048662,1020902300,35991,5000,19,25
439315940,1020301507,20951,3000,0,30
756620025,1020219000,34431,99000,15,50
786072626,1021100600,20523,3000,24,45
756372876,1020408301,32231,16220,4,130
269323752,1020409102,34421,5000,30,3415
756907376,1020601800,23999,10000,0,100
786362818,1034000502,39651,1000,25,90
756855697,1052000516,20701,3000,2,2476
786037721,1020302702,35991,3000,10,90
756940960,1052000211,34421,10000,50,174
074575540,1046000415,20519,10000,8,60
756397592,1021202200,39692,4529000,21,4
786393179,1020216300,35991,10000,0,35
756392859,1052000201,35991,1000,2,62
756948326,1020511500,20811,10000,2,300
786044493,1020203100,20199,5000,0,670
756825668,1020112700,34541,5000,1,550
786309434,1021000400,32703,5000,8,75
756825880,1038000211,27401,10000,2,85
698319538,1020600300,39501,1000,23,5
786020842,1020517400,35991,10000,2,1462
756959220,1020800700,34431,3000,0,3500
756396050,1021100600,20998,30000,9,2641
756860744,1020223300,32705,10000,42,2000
786379682,1020300101,36624,20000,0,40
664323489,1052000308,36619,10000,14,95
786007650,1020901500,25111,5000,3,827
756962909,1020302901,36111,5000,1,626
756961832,1021002500,34541,100000,0,130
341321411,1020210800,27901,15000,80,45
756398747,1020105700,23804,3000,3,40
756095539,1052000209,35991,10000,25,200
756365721,1020519200,35441,10000,1,130
786372110,1020219900,36622,10000,1,28
039943740,1052000308,34529,0,0,45
607311561,1020212900,30603,50000,21,8
737324452,1052000210,34431,10000,47,80
756099210,1020513300,20111,10000,170,100
109326159,1046000403,35951,10000,4,37
756958538,1020601800,37191,16000,3,780
439320793,1020504300,34431,3000,20,1000
975323043,1020215204,22999,1000,4,390
786311649,1021102100,35991,10000,9,70
895327924,1020300102,33159,4500,15,700
756353093,1020301507,36133,10000,1014,50
786359161,1020209404,34205,3500,2,3726
786331868,1020401700,27401,35000,3,50
756815408,1021201900,38212,6000,5,120
756072950,1052000346,35441,10000,2,855
744320592,1020505200,20701,0,1,30
560323690,1021003000,20519,40000,5,542
756945479,1021201900,34999,10000,0,30
756316307,1052000209,30201,20000,10,80
756086382,1020803300,34432,11000,19,60
786309971,1020708700,25301,50000,4,10
786030689,1020411800,30603,90000,10,45
786395482,1044001012,39671,3000,47,30
786040927,1020104100,22999,5000,2,492
786334953,1020217300,33134,10000,2,130
756625372,1052000320,36629,20000,6,8
756878305,1020607500,39698,50000,12,45
039408495,1021000200,27401,5000,1,300
756028500,1020214200,35991,30000,2,360
786336282,1020517800,23991,5000,2,319
786077383,1052000102,26403,0,1,60
756011335,1020303306,36199,10000,3,1120
756075051,1020100603,39881,0,10,300
786045721,1020204300,20951,10000,4,125
756304749,1020206404,35431,3000,4,120
786339318,1020220600,39671,43200,4,582
786394746,1020302601,34421,10000,14,70
756946797,1020204000,38411,14000,6,250
450318665,1020411200,20523,5000,15,3314
786396214,1020215100,34421,3000,1,60
756803987,1020300601,27401,10000,1,120
544311955,1044000101,23406,5000,33,527
786369684,1020507500,24111,30000,26,150
030823882,1020206500,35441,5000,1,4917
786074298,1052000312,23301,3000,0,120
786384684,1020104200,37191,10000,0,274
786393562,1020409700,22911,5000,8,1074
756989081,1020900700,23201,90000,0,20
786390887,1020203100,35971,10000,78,29
756989081,1020900700,23201,90000,0,20
756892212,1020305900,37141,3000,0,60
727324330,1020803700,37191,30000,1,63
756868662,1020300102,34421,20500,10,100
756095819,1020504300,34529,10000,3,36
756835131,1021200400,35991,10000,14,698
786304547,1020216400,23301,3000,4,1803
786346975,1020103400,35971,7000,115,35
786356227,1020508100,31701,10000,3,2
786377561,1020404300,34431,10000,4,92
786389629,1021001400,20302,3500,1,70
780328593,1021102300,35441,10000,1,50
756377330,1020108900,26402,10000,0,5
433314380,1046000418,33201,10000,0,190
786044323,1021000400,35951,20000,40,25
786339162,1052000109,27501,10000,1,26
786046202,1038000108,20199,40000,0,15
